Department,TOL_ID,Name,Description,Purpose,Cost,Testing_Status,Mention_Count
AI,TOL-009,Arcade.ai,Platform for handling AI agent authorization and tool security.,Secure agent authorization and tool security with OAuth flows,Commercial (Pricing not specified),Mentioned,1
AI,TOL-021,Browserbase,Managed infrastructure for AI agents to control browsers with natural language.,AI-driven browser automation for agents,Commercial (Managed Service),Actively Used,12
AI,TOL-025,ChatGPT (OpenAI),Fast and versatile AI for content creation.,"Content generation, message creation, Custom GPT specialized assistants",API-based (usage pricing) + Custom GPT (ChatGPT Pl...,Testing Needed,0
AI,TOL-026,Claude,Advanced AI language model with 200K+ token context window.,"Advanced AI assistant for analysis, automation, and MCP connector integration","API-based (usage pricing), Subscription for Pro fe...",Actively Used,607
AI,TOL-027,Claude Desktop App,Desktop application interface for Claude AI that enables running custom local MCP (Model Context Pro...,Local desktop application for Claude AI with MCP connector support,"Free application, requires Claude API subscription",Actively Used,9
AI,TOL-028,Claude Projects,Claude Projects is a feature within Claude that allows users to create dedicated workspaces with cus...,"Organize AI workflows with custom knowledge, instructions, and team collaboratio...",Included with Claude Pro subscription ($20/month) ...,Mentioned,1
AI,TOL-034,Crawl4AI,"Fast, efficient web crawler and scraper designed for AI applications.",Fast web crawling and data extraction for RAG and AI agents,Free (Open Source),Actively Used,12
AI,TOL-035,CrewAI,Popular multi-agent framework that emphasizes role-based agents working as a crew.,Role-based multi-agent orchestration framework,Free (Open Source),Actively Used,10
AI,TOL-044,Docling,"Framework for extracting data from complex documents like PDFs with diagrams, Excel files, and other...",Extract text from complex documents for RAG systems,Free (Open Source),Actively Used,23
AI,TOL-058,Gemini,Google's AI model optimized for processing large datasets.,"Large dataset processing, LinkedIn account analysis, deep company research",Free tier (3-month promo: $120 value → $80) + paid...,Actively Used,345
AI,TOL-059,Gemini File Search API,"Google's managed RAG solution that automatically handles file upload, chunking, embedding generation...",Managed Retrieval-Augmented Generation (RAG) that eliminates vector database inf...,"{'model': 'Freemium', 'free_tier': 'Limited file u...",Actively Used,8
AI,TOL-060,Genspark.ai,Comprehensive AI workspace platform offering multiple AI tools and services in one unified interface...,All-in-one AI workspace with multiple AI tools and services,TBD,Testing Needed,0
AI,TOL-065,Google AI Studio,Google's official comprehensive AI workbench for experimenting with Gemini AI models.,"Unified platform for generative AI tasks including chat, media generation (Veo v...","Free tier with usage limits, Pay-per-use for API c...",Actively Used,24
AI,TOL-071,Graphiti,Library for inserting data into knowledge graphs and searching them.,Build knowledge graphs from text with intelligent entity extraction,Free (Open Source),Actively Used,16
AI,TOL-072,Grok,AI chatbot developed by xAI (Elon Musk's company) with real-time access to X (Twitter) platform.,AI chatbot with real-time information access via X (Twitter),"Subscription-based (X Premium required, $16/month ...",Actively Used,10
AI,TOL-079,Kimi K2 Thinking,"Kimi K2 Thinking is a frontier-level, open-source, open-weights AI model from Chinese AI company Moo...",Open-source frontier AI model with long-chain reasoning and agentic tool-use cap...,N/A,Actively Used,51
AI,TOL-082,LangGraph,Multi-agent orchestration framework for connecting AI agents in complex workflows.,Orchestrate complex multi-agent workflows with state management and human-in-the...,Free (Open Source),Actively Used,29
AI,TOL-081,Langfuse,Agent observability platform for monitoring AI agents in production.,Monitor and observe AI agent performance in production,Free (Open Source) + Cloud Hosting Option,Actively Used,23
AI,TOL-093,MCP Builder (Skill),Claude skill that auto-generates Model Context Protocol (MCP) server code for connecting Claude to a...,Automatically generate MCP connector code from simple prompts,Included with Claude subscription (part of Claude ...,Actively Used,13
