task_template_id,task_name,department,category,priority,complexity,estimated_duration,business_impact,quick_win,matched_template,assigned_to,original_id,filename
TST-001,Research to Task Manager integration,AID,Research,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-001,TST-001_Research_to_Task_Manager_integration.json
TST-002,Pack all dailies into Week3 folder,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-002,TST-002_Pack_all_dailies_into_Week3_folder.json
TST-030,Interviews Lists to MD Files,HRM,Task,High,Medium,2-3 hours (one-time setup),Medium,False,CUSTOM,TBD,TSK-030,TST-030_Interviews_Lists_to_MD_Files.json
TST-031,Clear Lists of Candidates Sources,HRM,Task,High,Medium,2-3 hours (one-time setup),Medium,False,CUSTOM,TBD,TSK-031,TST-031_Clear_Lists_of_Candidates_Sources.json
TST-032,HR Onboarding preparation,HRM,Task,High,Medium,2-3 hours,Medium,False,CUSTOM,TBD,TSK-032,TST-032_HR_Onboarding_preparation.json
TST-033,Integrate Individual Employee Testing,HRM,Integration,High,Medium,2-3 hours (one-time setup),Medium,False,CUSTOM,TBD,TSK-033,TST-033_Integrate_Individual_Employee_Testing.json
TST-034,Discord Bot notifications,HRM,Task,High,Medium,2-3 hours (one-time setup),Medium,False,CUSTOM,TBD,TSK-034,TST-034_Discord_Bot_notifications.json
TST-035,Expand Industries,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-035,TST-035_Expand_Industries.json
TST-036,LG Message Templates,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-036,TST-036_LG_Message_Templates.json
TST-037,Prospects Architecture Improvement,SLS,Task,High,Medium,4-5 hours for 50 emails,Medium,False,CUSTOM,TBD,TSK-037,TST-037_Prospects_Architecture_Improvement.json
TST-038,Feed database: 300 new leads daily,DEV,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-038,TST-038_Feed_database_300_new_leads_daily.json
TST-039,Populate leads with classifications,LGN,Task,High,Medium,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Medium,False,CUSTOM,TBD,TSK-039,TST-039_Populate_leads_with_classifications.json
TST-040,Target audience analysis,AID,Task,High,Medium,N/A,Medium,False,CUSTOM,TBD,TSK-040,TST-040_Target_audience_analysis.json
TST-041,Extract/analyze LG conversations,AID,Research,High,Medium,6-9 hours (4-6 hours research + 2-3 hours documentation),Medium,False,CUSTOM,TBD,TSK-041,TST-041_Extractanalyze_LG_conversations.json
TST-042,Build look-alike auditory,DGN,Development,High,Medium,1.5-2 hours,Medium,False,CUSTOM,TBD,TSK-042,TST-042_Build_look-alike_auditory.json
TST-043,Testing Individual Scraping Techniques,DEV,Testing,High,Medium,1.5-2 hours,Medium,False,CUSTOM,TBD,TSK-043,TST-043_Testing_Individual_Scraping_Techniques.json
