Queue_Position,Task_ID,Task_Name,Priority,Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
1,PRT-014,HR Attendance Dashboard,Critical,AI,Infrastructure,,DevOps Engineer / Cloud Engineer,4 hours (1 hour planning + 2 hours implementation + 1 hour testing),Infrastructure,2,Yes,High,Task-Template-073
2,PRT-015,Vilhelm Onboarding & Video Processing Training,Critical,AI,Infrastructure,,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Infrastructure,2,Yes,High,Task-Template-005
3,PRT-011,Google Maps Scraping System,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
4,PRT-012,Reviews Scraping & Analysis System,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
5,PRT-016,AI Tools & Accounts Management System,Critical,AI,Infrastructure,,AI Engineer / Data Analyst,1.5 hours (30 min automation run + 45 min validation + 15 min reporting),Infrastructure,2,No,High,Task-Template-074
6,PRT-009,PROSPECTS → Populate Data with AI Research,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
7,PRT-002,Entity System Cleanup,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
8,TSK-342,Build role-based account access system,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
9,TSK-343,Create account manager interface,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
10,TSK-346,Implement employee-based permissions,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
11,TSK-347,Implement profession/role-based permissions,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
12,TSK-141,Set up Vilhelm's VS Code with Claude Extension,High,Video,Task,PRT-015,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
13,TSK-229,Create attendance_dashboard asset,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
14,TSK-334,Sync Task Template to backend,High,Development,Integration,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
15,TSK-340,Design country-based job account permissions,High,Development,Design,,TBD,20-30 minutes,Internal,2,Yes,Medium,CUSTOM
16,TSK-341,Implement team lead access limits,High,Development,Development,,AI Engineer / DevOps Engineer,2 hours (30 min install + 1 hour config + 30 min testing),Internal,2,Yes,Medium,Task-Template-072
17,TSK-344,Add Balkans as region in system,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
18,TSK-345,Design permission system architecture,High,Development,Design,,TBD,20-30 minutes,Internal,2,Yes,Medium,CUSTOM
19,TSK-370,Generate n8n workflow from Claude,High,AI,Task,,Operations Manager,1-4 minutes (automated execution),Internal,2,Yes,High,Task-Template-022
20,TSK-389,Build GitHub-Dropbox sync for backend,High,AI,Development,,AI Engineer / DevOps Engineer,2 hours (30 min install + 1 hour config + 30 min testing),Internal,2,Yes,High,Task-Template-072
21,TSK-111,Connect scraper to CRM automation,High,AI,Integration,PRT-011,Operations Manager,1-4 minutes (automated execution),Internal,2,Yes,High,Task-Template-022
22,TSK-200,Monday call at 9 AM,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
23,TSK-201,Vilhelm + Yulya: Collect designer works,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
24,TSK-202,Implement designer work storage in Dropbox,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
25,TSK-204,Create plans for next stage,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
26,TSK-053,Synchronize Libs with Online Academy,High,Development,Integration,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
27,TSK-054,Connect Task Managers to Libs,High,Development,Integration,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
28,PRT-013,Job Sites Entity Creation,High,AI,Automation,,Executive Assistant,Auto-draft: <1 minute | Review: 10 minutes,Internal,2,Yes,High,Task-Template-005
29,TSK-395,REVOKE exposed GitHub token immediately,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
30,TSK-396,Generate new GitHub token,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
31,TSK-397,Audit all files for exposed credentials,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
32,TSK-398,Implement secret scanning in repos,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
