PMT_ID,Entity_Type,Name,Description,Category,Department,File_Path,Status,Version,Last_Updated
PMT-001,Prompt,Main Prompt v4,Core system prompt for all AI operations,CORE,Multi,Core/PMT-001_Main_Prompt_v4.md,Active,4.0,2025-11-18
PMT-002,Prompt,Main Prompt v6,Ultra-condensed main prompt (73% reduction from v4),CORE,Multi,Core/MAIN_PROMPT_v6.md,Active,6.0,2025-11-19
PMT-003,Prompt,Create Main Prompt v5,Utility prompt for generating v5 modular structure,CORE,Multi,Core/PMT-003_Create_Main_Prompt_v5.md,Utility,5.0,2025-11-18
PMT-004,Prompt,Video Transcription v4.1,TASK_MANAGERS entity extraction from video transcriptions,VIDEO,VID,PROMPTS/Transcription/PMT-004_Video_Transcription_v4.1.md,Active,4.1,2025-11-19
PMT-005,Prompt,Video Naming Alternatives,Generate business-oriented alternative names for videos,VIDEO,VID,PROMPTS/Transcription/PMT-005_Video_Naming_Alternatives.md,Active,1.0,2025-11-18
PMT-006,Prompt,Video Analysis,Comprehensive video content analysis and extraction,VIDEO,VID,PROMPTS/Analysis/PMT-006_Video_Analysis.md,Active,1.0,2025-11-18
PMT-007,Prompt,Objects Library Extraction,Extract LIBRARIES objects (OBJ-###) from video content,VIDEO,VID,PROMPTS/Analysis/PMT-007_Objects_Library_Extraction.md,Active,1.0,2025-11-18
PMT-008,Prompt,Video Analysis Improvements,Analysis and improvement recommendations for video processing,VIDEO,VID,PROMPTS/Analysis/PMT-008_Video_Analysis_Improvements.md,Active,1.0,2025-11-18
PMT-009,Prompt,Taxonomy Integration,Integrate video entities into taxonomy system,VIDEO,VID,PROMPTS/Taxonomy_Integration/PMT-009_Taxonomy_Integration.md,Active,1.0,2025-11-18
PMT-010,Prompt,Complete Workflow Full,Comprehensive 7-phase video processing workflow,VIDEO,VID,PROMPTS/Workflows/PMT-010_Complete_Workflow_Full.md,Active,1.0,2025-11-18
PMT-011,Prompt,Complete Workflow Short,Abbreviated video processing workflow guide,VIDEO,VID,PROMPTS/Workflows/PMT-011_Complete_Workflow_Short.md,Active,1.0,2025-11-18
PMT-012,Prompt,Transcript Processing Workflow,Workflow for processing video transcripts,VIDEO,VID,PROMPTS/Workflows/PMT-012_Transcript_Processing_Workflow.md,Active,1.0,2025-11-18
PMT-013,Prompt,Merge Transcriptions Research,Merge video transcriptions with research integration,VIDEO,VID,WORKFLOWS/Video_Processing/PMT-013_Merge_Transcriptions_Research.md,Active,1.0,2025-11-18
PMT-014,Prompt,Build Taxonomy ID System,Create and implement taxonomy ID architecture,TAXONOMY,AID,Taxonomy/PMT-014_Build_Taxonomy_ID_System.md,Active,1.0,2025-11-18
PMT-015,Prompt,Optimize Video Transcription,Optimize video transcription for taxonomy extraction,TAXONOMY,VID,Taxonomy/PMT-015_Optimize_Video_Transcription.md,Active,1.0,2025-11-19
PMT-016,Prompt,Build LIBRARIES Taxonomy,Build comprehensive LIBRARIES taxonomy system,TAXONOMY,AID,Taxonomy/PMT-016_Build_LIBRARIES_Taxonomy.md,Active,1.0,2025-11-18
PMT-017,Prompt,Initial ID List,Generate initial taxonomy ID list for LIBRARIES,TAXONOMY,AID,Taxonomy/PMT-017_Initial_ID_List.md,Active,1.0,2025-11-18
PMT-018,Prompt,Employee Profile Schema,Build employee profile schema workflow,TAXONOMY,HRM,Taxonomy/PMT-018_Employee_Profile_Schema.md,Active,1.0,2025-11-18
PMT-019,Prompt,Restructure Employee Profile,Restructure employee profiles for TASK_MANAGERS,TAXONOMY,HRM,Taxonomy/PMT-019_Restructure_Employee_Profile.md,Active,1.0,2025-11-18
PMT-020,Prompt,Taxonomy Entities Collection,Collect and organize taxonomy entities,TAXONOMY,AID,Taxonomy/PMT-020_Taxonomy_Entities_Collection.md,Active,1.0,2025-11-18
PMT-021,Prompt,Ecosystem Analysis Overview,Main ecosystem analysis and validation overview,SYSTEM,AID,SYSTEM/System_Analysis/PMT-021_Ecosystem_Analysis_Overview.md,Active,1.0,2025-11-18
PMT-022,Prompt,Data Inventory,Milestone-based data inventory analysis,SYSTEM,AID,SYSTEM/System_Analysis/PMT-022_Data_Inventory.md,Active,1.0,2025-11-18
PMT-023,Prompt,Schema Validation,Schema naming and structure validation,SYSTEM,AID,SYSTEM/System_Analysis/PMT-023_Schema_Validation.md,Active,1.0,2025-11-18
PMT-024,Prompt,Content Analysis,Milestone content analysis and extraction,SYSTEM,AID,SYSTEM/System_Analysis/PMT-024_Content_Analysis.md,Active,1.0,2025-11-18
