New_ID,Entity_Type,Current_ID,Name,Description,Department,File_Path,Status
TST-001,Task_Template,Task-Template-001,AI Powered HTML Parsing,Parse HTML data using AI for data extraction,AID,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-001_AI_Powered_HTML_Parsing.json,Active
TST-002,Task_Template,Task-Template-002,Airscale Employee Enrichment,Enrich employee data using Airscale platform,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-002_Airscale_Employee_Enrichment.json,Active
TST-003,Task_Template,Task-Template-003,Anymailfinder Nominative Enrichment,Email enrichment using Anymailfinder service,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-003_Anymailfinder_Nominative_Enrichment.json,Active
TST-004,Task_Template,Task-Template-004,Apollo IO Full Stack,Apollo IO full stack lead generation,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-004_Apollo_IO_Full_Stack_DEPRECATED.json,Deprecated
TST-005,Task_Template,Task-Template-005,Automate Morning Email Drafting,Automate daily email drafting workflow,DEV,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-005_Automate_Morning_Email_Drafting.json,Active
TST-006,Task_Template,Task-Template-006,Bright Data Email Enrichment,Email enrichment using Bright Data platform,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-006_Bright_Data_Email_Enrichment.json,Active
TST-007,Task_Template,Task-Template-007,Create Job Posting Template,Create standardized job posting templates,HRM,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-007_Create_Job_Posting_Template.json,Active
TST-008,Task_Template,Task-Template-008,Create MCP Connector,Create Model Context Protocol connector,DEV,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-008_Create_MCP_Connector.json,Active
TST-009,Task_Template,Task-Template-009,Custom Niche Platform Scraping,Scrape custom niche platforms for leads,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-009_Custom_Niche_Platform_Scraping.json,Active
TST-010,Task_Template,Task-Template-010,Deploy MCP Connector Locally,Deploy MCP connector to local environment,DEV,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-010_Deploy_MCP_Connector_Locally.json,Active
TST-011,Task_Template,Task-Template-011,Enable Claude Skills Feature,Enable Claude Skills in Claude Desktop,DEV,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-011_Enable_Claude_Skills_Feature.json,Active
TST-012,Task_Template,Task-Template-012,Enterprise Email Arbitrage,Email arbitrage strategy for enterprise accounts,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-012_Enterprise_Email_Arbitrage.json,Active
TST-013,Task_Template,Task-Template-013,Google Maps Local Business Scraping,Scrape Google Maps for local business leads,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-013_Google_Maps_Local_Business_Scraping.json,Active
TST-014,Task_Template,Task-Template-014,Google SERP Lead Generation,Generate leads from Google SERP results,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-014_Google_SERP_Lead_Generation.json,Active
TST-015,Task_Template,Task-Template-015,Instagram Influencer Scraping,Scrape Instagram for influencer data,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-015_Instagram_Influencer_Scraping.json,Active
TST-016,Task_Template,Task-Template-016,Instantly AI Email Enrichment,Email enrichment using Instantly AI,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-016_Instantly_AI_Email_Enrichment.json,Active
TST-017,Task_Template,Task-Template-017,LinkedIn Jobs Intent Based Scraping,Scrape LinkedIn jobs with intent signals,LGN,ENTITIES/TASK_MANAGERS/Task_Templates/Task-Template-017_LinkedIn_Jobs_Intent_Based_Scraping.json,Active
