Date,Source_File,Entity_Type,Entity_ID,Activity_Name,Full_Description,Related_Project,Related_Milestone,Department,Priority,Category,Tags
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-395,REVOKE exposed GitHub token immediately,REVOKE exposed GitHub token immediately,,,AI,High,Task,GitHub
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-396,Generate new GitHub token,Generate new GitHub token,,,AI,High,Task,GitHub
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-397,Audit all files for exposed credentials,Audit all files for exposed credentials,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-398,Implement secret scanning in repos,Implement secret scanning in repos,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-399,Conduct deep research on Desert Greener,Conduct deep research on Desert Greener,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-400,Prepare pre-meeting research template,Prepare pre-meeting research template,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-401,Schedule WhatsApp call with Wilhelm,Schedule WhatsApp call with Wilhelm,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-402,Fix email personalization - add LinkedIn context,Fix email personalization - add LinkedIn context,,,AI,High,Maintenance,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-403,Create email template with conversation references,Create email template with conversation references,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-404,Implement deep research before email sending,Implement deep research before email sending,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-405,Add clear next-step instructions for clients,Add clear next-step instructions for clients,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-406,Find substitute person for Vamos project,Find substitute person for Vamos project,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-407,Talk to Dasha about retention,Talk to Dasha about retention,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-408,Identify issues causing quit desire,Identify issues causing quit desire,,,AI,High,Design,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-409,Create retention strategy,Create retention strategy,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-410,Retain Vamos employee (2 years tenure),Retain Vamos employee (2 years tenure),,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-411,Resolve accounting/payment issues,Resolve accounting/payment issues,,,AI,High,Maintenance,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-412,Document retention process,Document retention process,,,AI,High,Documentation,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-413,Communicate final decision to MASEK client,Communicate final decision to MASEK client,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-414,Document client termination policy,Document client termination policy,,,AI,High,Documentation,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-415,Create script for daily notes action extraction,Create script for daily notes action extraction,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-416,Build intermediate export folders structure,Build intermediate export folders structure,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-417,Implement object extraction after actions,Implement object extraction after actions,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-418,Reduce token consumption via scripting,Reduce token consumption via scripting,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-419,Integrate multiple AI platforms for processing,Integrate multiple AI platforms for processing,,,AI,High,Integration,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-420,Continue data structuring work,Continue data structuring work,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-421,Create deep research template (10-15 pages),Create deep research template (10-15 pages),,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-422,Build social media checklist (15 networks),Build social media checklist (15 networks),,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-423,Integrate company context into research,Integrate company context into research,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-424,"Create ""new lesson of the week"" system","Create ""new lesson of the week"" system",,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-425,Document deep research in client folders,Document deep research in client folders,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-426,Export Week 2 tasks list,Export Week 2 tasks list,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-427,Deprecate old workflow system,Deprecate old workflow system,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-428,Structure financial folder architecture,Structure financial folder architecture,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-429,Create research list for Finance 2025,Create research list for Finance 2025,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-430,Build reports in ANALYTICS folder,Build reports in ANALYTICS folder,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-431,Generate prompts for financial analysis,Generate prompts for financial analysis,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-432,Create employee 1:1 session template,Create employee 1:1 session template,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-433,Export daily CRM attendance data,Export daily CRM attendance data,,,AI,High,Task,CRM
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-434,Build script to check employee file status,Build script to check employee file status,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-435,Verify Dropbox + VSCode + Extensions for all,Verify Dropbox + VSCode + Extensions for all,,,AI,High,Testing,"Dropbox, VS Code"
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-436,Conduct manual verification by end of week,Conduct manual verification by end of week,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-437,Use Overview folder data for analysis,Use Overview folder data for analysis,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-438,Create innovation rollout process,Create innovation rollout process,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-439,Decide: Team leads vs direct rollout,Decide: Team leads vs direct rollout,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-440,Create Cursor/Windsurf instructions,Create Cursor/Windsurf instructions,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-441,Build employee verification shifts,Build employee verification shifts,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-442,Assign department checkers,Assign department checkers,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-443,Create 2-week rollout timeline,Create 2-week rollout timeline,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-444,Export Loom video titles,Export Loom video titles,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-445,Export Loom transcriptions,Export Loom transcriptions,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-446,Add remoteemployees.com content to assets,Add remoteemployees.com content to assets,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-447,Build attendance statistics export system,Build attendance statistics export system,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-448,Create CRM API integration,Create CRM API integration,,,AI,High,Development,CRM
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-449,Build Discord voice log export,Build Discord voice log export,,,AI,High,Development,Discord
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-450,Parse and analyze daily attendance,Parse and analyze daily attendance,,,AI,High,Research,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-451,Create Discord tools documentation,Create Discord tools documentation,,,AI,High,Development,Discord
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-452,Reverse name conventions in Task Manager,Reverse name conventions in Task Manager,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-453,Remove department letters from filenames,Remove department letters from filenames,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-454,Update data integrity hierarchy,Update data integrity hierarchy,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-455,Update all prompts with old naming,Update all prompts with old naming,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-456,Build similar/connected words in LIBRARIES,Build similar/connected words in LIBRARIES,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-457,Create AI Catalog markdown file,Create AI Catalog markdown file,,,AI,High,Development,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-458,Add AI Catalog to Assets index,Add AI Catalog to Assets index,,,AI,High,Task,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-459,Document AI Catalog content,Document AI Catalog content,,,AI,High,Documentation,
2025-11-17,171125_Niko_PROCESSED.md,TSK,TSK-460,Perform oa-y/Libraries/Task Managers gap analysis,Perform oa-y/Libraries/Task Managers gap analysis,,,AI,High,Task,
