Entity_ID,Entity_Name,Entity_Type,Department,Category,File_Path,Count,Status
RSP-001,Core Responsibilities,Responsibilities,Multi-Department,Core,LIBRARIES/Responsibilities/Core/responsibilities_master.json,193,Active
RSP-002,AI Responsibilities,Responsibilities,AI,Department-Specific,LIBRARIES/Responsibilities/Core/By_Department/AI_Responsibilities.json,80,Active
RSP-003,DEV Responsibilities,Responsibilities,Development,Department-Specific,LIBRARIES/Responsibilities/Core/By_Department/DEV_Responsibilities.json,34,Active
RSP-004,HR Responsibilities,Responsibilities,Human Resources,Department-Specific,LIBRARIES/Responsibilities/Core/By_Department/HR_Responsibilities.json,6,Active
RSP-005,LG Responsibilities,Responsibilities,Lead Generation,Department-Specific,LIBRARIES/Responsibilities/Core/By_Department/LG_Responsibilities.json,64,Active
ACT-001,Actions Master,Actions,Multi-Department,Master,LIBRARIES/Responsibilities/Actions/Actions_Master.json,429,Active
ACT-002,Command Verbs,Actions,Multi-Department,Verb Type,LIBRARIES/Responsibilities/Actions/Actions_Master_Command_Verbs.json,143,Active
ACT-003,Process Verbs,Actions,Multi-Department,Verb Type,LIBRARIES/Responsibilities/Actions/Actions_Master_Process_Verbs.json,143,Active
ACT-004,Result Verbs,Actions,Multi-Department,Verb Type,LIBRARIES/Responsibilities/Actions/Actions_Master_Result_Verbs.json,143,Active
ACT-005,Video Generation Actions,Actions,Video Production,Domain-Specific,LIBRARIES/Responsibilities/Actions/Video_Generation_Actions.json,50,Active
OBJ-001,Agentic Engineering Objects,Objects,AI,Domain,LIBRARIES/Responsibilities/Objects/Agentic_Engineering_Objects.json,13,Active
OBJ-002,AI Automation Objects,Objects,AI,Domain,LIBRARIES/Responsibilities/Objects/AI_Automation_Objects.json,10,Active
OBJ-003,Lead Generation Objects,Objects,Lead Generation,Domain,LIBRARIES/Responsibilities/Objects/Lead_Generation_Objects.json,10,Active
OBJ-004,RAG Objects,Objects,AI,Domain,LIBRARIES/Responsibilities/Objects/RAG_Objects.json,6,Active
OBJ-005,Design Deliverables,Objects,Design,Domain,LIBRARIES/Responsibilities/Objects/Design_Deliverables.json,8,Active
OBJ-006,Development Objects,Objects,Development,Domain,LIBRARIES/Responsibilities/Objects/Development_Objects.json,12,Active
