Task_ID,Task_Name,Original_Department,Reclassified_Department,Priority,Primary_Role,Responsible_Person,Accountable_Person,Consulted_Roles,Informed_Roles,Assignment_Status,Estimated_Duration,Required_Skills,Responsibility_Match
TSK-395,REVOKE exposed GitHub token immediately,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-396,Generate new GitHub token,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
TSK-397,Audit all files for exposed credentials,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-398,Implement secret scanning in repos,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-399,Conduct deep research on Desert Greener,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-400,Prepare pre-meeting research template,AI,Sales,High,AI Researcher / Video Production Specialist,TBD,Sales Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,manage sales pipeline
TSK-401,Schedule WhatsApp call with Wilhelm,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-402,Fix email personalization - add LinkedIn context,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-403,Create email template with conversation references,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-404,Implement deep research before email sending,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-405,Add clear next-step instructions for clients,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-406,Find substitute person for Vamos project,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-407,Talk to Dasha about retention,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-408,Identify issues causing quit desire,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-409,Create retention strategy,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-410,Retain Vamos employee (2 years tenure),AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-411,Resolve accounting/payment issues,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-412,Document retention process,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-413,Communicate final decision to MASEK client,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-414,Document client termination policy,AI,Sales,High,Sales Manager,TBD,Sales Lead,,,Proposed,4-5 hours for 50 emails,,manage sales pipeline
TSK-415,Create script for daily notes action extraction,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-416,Build intermediate export folders structure,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-417,Implement object extraction after actions,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-418,Reduce token consumption via scripting,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-419,Integrate multiple AI platforms for processing,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-420,Continue data structuring work,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-421,Create deep research template (10-15 pages),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-422,Build social media checklist (15 networks),AI,SMM,High,AI Researcher / Developer,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-423,Integrate company context into research,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-424,"Create ""new lesson of the week"" system",AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-425,Document deep research in client folders,AI,Sales,High,AI Researcher / Video Production Specialist,TBD,Sales Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,manage sales pipeline
TSK-426,Export Week 2 tasks list,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-427,Deprecate old workflow system,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-428,Structure financial folder architecture,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-429,Create research list for Finance 2025,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-430,Build reports in ANALYTICS folder,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-431,Generate prompts for financial analysis,AI,Finance,High,Finance Manager / Automation Specialist,TBD,Finance Lead,,,Proposed,3 hours (45 min requirements + 1.5 hours design + 45 min testing),,N/A
TSK-432,Create employee 1:1 session template,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-433,Export daily CRM attendance data,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-434,Build script to check employee file status,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-435,Verify Dropbox + VSCode + Extensions for all,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-436,Conduct manual verification by end of week,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-437,Use Overview folder data for analysis,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-438,Create innovation rollout process,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-439,Decide: Team leads vs direct rollout,AI,Lead Generation,High,Lead Generation Specialist / Sales Development Rep,TBD,Lead Generation Lead,,,Proposed,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),,generate leads
TSK-440,Create Cursor/Windsurf instructions,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-441,Build employee verification shifts,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-442,Assign department checkers,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-443,Create 2-week rollout timeline,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-444,Export Loom video titles,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-445,Export Loom transcriptions,AI,Video,High,Specialist,TBD,Video Lead,,,Proposed,TBD,,produce videos
TSK-446,Add remoteemployees.com content to assets,AI,HR,High,HR Manager / Automation Specialist,TBD,HR Lead,,,Proposed,2-3 hours (one-time setup),,N/A
TSK-447,Build attendance statistics export system,AI,HR,High,HR Manager / Operations Specialist,TBD,HR Lead,,,Proposed,2-3 hours,,N/A
TSK-448,Create CRM API integration,AI,Development,High,AI Engineer,AI Engineer,Development Lead,,"Operations Team, Automation Team",Proposed,1-2 minutes,,N/A
TSK-449,Build Discord voice log export,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-450,Parse and analyze daily attendance,AI,HR,High,AI Researcher / Video Production Specialist,TBD,HR Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-451,Create Discord tools documentation,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-452,Reverse name conventions in Task Manager,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-453,Remove department letters from filenames,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-454,Update data integrity hierarchy,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-455,Update all prompts with old naming,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-456,Build similar/connected words in LIBRARIES,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-457,Create AI Catalog markdown file,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-458,Add AI Catalog to Assets index,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-459,Document AI Catalog content,AI,SMM,High,AI Researcher / Video Production Specialist,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-460,Perform oa-y/Libraries/Task Managers gap analysis,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-461,Create cross-reference index (tool→lesson→template),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-462,Build research prompts for developer tutorials,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-463,Create File System research prompt v2,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-464,Add training/learning responsibilities to Libraries,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-465,Create weekly AI tutorial research template,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-466,Convert SMM research into Task Templates,AI,SMM,High,AI Researcher / Video Production Specialist,TBD,SMM Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-467,Create unified research prompt schema,AI,Development,High,AI Researcher / Developer,TBD,Development Lead,,,Proposed,6-9 hours (4-6 hours research + 2-3 hours documentation),,N/A
TSK-468,Integrate Research ID system (RES-###),AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-469,Add ISO 3-letter codes to research,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-470,Test entity upload to Postgres,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-471,Build matching schemas for consistency,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-472,Define deliverables as milestone templates,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-473,Maintain central listings while splitting by dept,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-474,Create ID and name control scripts,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-475,Build central IDs with names center,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-331,Create AI routes inside entity folders,AI,AI,High,Specialist,TBD,AI Lead,,,Proposed,TBD,,N/A
TSK-332,Build index files for machine/AI access,AI,Design,High,Specialist,TBD,Design Lead,,,Proposed,20-30 minutes,,design UI mockups
TSK-333,Save schemas inside folders with field definitions,AI,Development,High,Specialist,TBD,Development Lead,,,Proposed,TBD,,N/A
