New_ID,Entity_Type,Current_ID,Name,Description,Department,File_Path,Status
CHT-001,Checklist_Template,CHK-001,Unified Responsibilities ecosystem structure,Complete unified responsibilities ecosystem with proper structure and organization,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-001.json,Active
CHT-002,Checklist_Template,CHK-002,parameter_object_mapping.json (473 state-based + 6848 quality mappings),Comprehensive parameter object mapping file with state-based and quality mappings,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-002.json,Active
CHT-003,Checklist_Template,CHK-003,parameter_views_by_profession.json,Parameter views organized by profession for easy access and filtering,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-003.json,Active
CHT-004,Checklist_Template,CHK-004,migrate_references.py automation script,Python automation script to migrate references across the ecosystem,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-004.json,Active
CHT-005,Checklist_Template,CHK-005,validate_ecosystem.py validation script,Python validation script to ensure ecosystem integrity and consistency,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-005.json,Active
CHT-006,Checklist_Template,CHK-006,Core/ directory with 4 integration files + By_Department views,Core directory structure with integration files and department-specific views,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-006.json,Active
CHT-007,Checklist_Template,CHK-007,Complete project logs (6 files),Comprehensive project logs documenting all activities and changes (6 files),AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-007.json,Active
CHT-008,Checklist_Template,CHK-008,Migration statistics report,Statistical report documenting migration metrics and completion status,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/PROJ-LIB-001/CHK-008.json,Active
CHT-009,Checklist_Template,CHK-009,Research session JSON file (YYYY-MM-WXX_AI_Tutorials_Research.json),Structured research session file with AI tutorial findings and metadata,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-009.json,Active
CHT-010,Checklist_Template,CHK-010,10-15 videos identified with URLs creators metadata,Collection of 10-15 curated videos with complete URLs creator information and metadata,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-010.json,Active
CHT-011,Checklist_Template,CHK-011,Influencer_Database.json updated with new creators,Updated influencer database JSON file with newly identified creators and their information,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-011.json,Active
CHT-012,Checklist_Template,CHK-012,YouTube_Channels.json updated with metrics,Updated YouTube channels database with current metrics and performance data,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-012.json,Active
CHT-013,Checklist_Template,CHK-013,3-5 Video_XXX.md files with complete transcriptions,Complete video transcription files (3-5 videos) in markdown format with full content,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-013.json,Active
CHT-014,Checklist_Template,CHK-014,VIDEOS_INDEX.md updated with new entries,Updated videos index markdown file with new video entries and metadata,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-014.json,Active
CHT-015,Checklist_Template,CHK-015,Creator attribution and channel URLs included,Complete creator attribution and channel URLs for all referenced content,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-015.json,Active
CHT-016,Checklist_Template,CHK-016,Videos ready for taxonomy extraction,Videos processed and prepared for taxonomy extraction with proper formatting,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-016.json,Active
CHT-017,Checklist_Template,CHK-017,Video_XXX_Library_Mapping_Report.md (per video),Individual library mapping report for each video showing taxonomy mappings,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-017.json,Active
CHT-018,Checklist_Template,CHK-018,5-10 new tool entries in Tools/AI_Tools/,New AI tool entries (5-10) added to Tools/AI_Tools directory with complete documentation,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-018.json,Active
CHT-019,Checklist_Template,CHK-019,Objects library updated with new entities,Objects library updated with newly identified entities from research,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-019.json,Active
CHT-020,Checklist_Template,CHK-020,3-5 new processes/workflows documented,Documentation of 3-5 new processes or workflows identified during research,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-020.json,Active
CHT-021,Checklist_Template,CHK-021,Profession mappings updated,Updated profession mappings with new roles and responsibilities,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-021.json,Active
CHT-022,Checklist_Template,CHK-022,Cross-reference index updated,Updated cross-reference index linking all related entities and resources,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-022.json,Active
CHT-023,Checklist_Template,CHK-023,Research session summary report,Comprehensive research session summary with findings and recommendations,AID,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-001/CHK-023.json,Active
CHT-024,Checklist_Template,CHK-024,Claude Skills enabled in Claude Desktop,Claude Skills feature enabled and configured in Claude Desktop application,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-024.json,Active
CHT-025,Checklist_Template,CHK-025,MCP Builder skill visible and accessible,MCP Builder skill successfully installed visible and accessible in Claude Desktop,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-025.json,Active
CHT-026,Checklist_Template,CHK-026,Complete Gmail MCP connector codebase,Complete Gmail MCP connector codebase with all features implemented,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-026.json,Active
CHT-027,Checklist_Template,CHK-027,API integration code,Gmail API integration code with authentication and data handling,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-027.json,Active
CHT-028,Checklist_Template,CHK-028,Error handling implementation,Comprehensive error handling implementation for Gmail connector,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-028.json,Active
CHT-029,Checklist_Template,CHK-029,Configuration files,Configuration files for Gmail MCP connector setup and credentials,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-029.json,Active
CHT-030,Checklist_Template,CHK-030,Complete Calendar MCP connector codebase,Complete Google Calendar MCP connector codebase with all features implemented,DEV,ENTITIES/TASK_MANAGERS/Checklist_Items/By_Project/Project-Template-002/CHK-030.json,Active
