Workflow_Cluster_ID,Workflow_Name,Related_Project_ID,Task_Count,Task_IDs,Cluster_Type,Total_Estimated_Hours,Milestone_Dependencies,Execution_Phase,Department
WFC-001,Develop USER Entities,PRT-005,1,TSK-062,Parallel,0.0,,Planning,AI
WFC-002,Prospects Architecture Improvement,PRT-009,6,"TSK-037, TSK-038, TSK-039, TSK-040, TSK-041, TSK-042",Sequential,14.0,MLT-022,Planning,"AI, Design, Development, Lead Generation, Sales"
WFC-003,Populate Business Entity from Sales,PRT-010,1,TSK-049,Parallel,0.0,,Planning,AI
WFC-004,Find historical search queries file on Google Drive,PRT-011,15,"TSK-106, TSK-107, TSK-108, TSK-109, TSK-110, TSK-111, TSK-112, TSK-113, TSK-114, TSK-115...",Sequential,24.0,MLT-033,Planning,"AI, Lead Generation, Sales"
WFC-005,Document scraping system (20% checkpoint),PRT-012,13,"TSK-116, TSK-117, TSK-118, TSK-119, TSK-120, TSK-121, TSK-122, MLT-034, MLT-035, MLT-036...",Sequential,21.3,MLT-039,Planning,"AI, Design, Development, Lead Generation, SMM"
WFC-006,Create Job Sites folder in ENTITIES/ACCOUNTS,PRT-013,5,"TSK-123, TSK-124, TSK-125, TSK-126, TSK-127",Sequential,12.0,MLT-039,Planning,"AI, Lead Generation"
WFC-007,Deploy v1.0 to Vercel,PRT-014,12,"TSK-128, TSK-129, TSK-130, TSK-131, TSK-132, TSK-133, TSK-134, TSK-135, TSK-136, TSK-137...",Parallel,2.8,,Planning,"AI, Design, Development, HR"
WFC-008,Teach Vilhelm video parsing workflow,PRT-015,10,"TSK-140, TSK-141, TSK-142, TSK-143, TSK-144, TSK-145, TSK-146, TSK-147, TSK-148, TSK-149",Parallel,16.0,,Planning,"AI, Lead Generation, SMM, Sales, Video"
WFC-009,Document current AI tools tracking system,PRT-016,7,"TSK-150, TSK-151, TSK-152, TSK-153, TSK-154, TSK-155, TSK-156",Parallel,13.1,,Planning,"AI, Development, Sales"
WFC-010,Design single task page layout,PRT-017,6,"TSK-157, TSK-158, TSK-159, TSK-160, TSK-161, TSK-162",Parallel,0.7,,Planning,"AI, Design"
WFC-011,AI - Design Tasks,N/A,2,"TSK-272, TSK-210",Parallel,0.0,N/A,Execution,AI
WFC-012,AI - Development Tasks,N/A,56,"TSK-398, TSK-403, TSK-404, TSK-415, TSK-417, TSK-421, TSK-424, TSK-429, TSK-438, TSK-440...",Parallel,2.0,N/A,Execution,AI
WFC-013,AI - Documentation Tasks,N/A,6,"TSK-355, TSK-260, TSK-280, TSK-180, TSK-213, TSK-228",Parallel,0.0,N/A,Execution,AI
WFC-014,AI - Infrastructure Tasks,N/A,10,"PRT-012, PRT-015, PRT-016, PRT-017, PRT-004, PRT-006, PRT-008, PRT-010, PRT-002, PRT-003",Parallel,1.0,N/A,Execution,AI
WFC-015,AI - Integration Tasks,N/A,8,"TSK-419, TSK-393, TSK-241, TSK-305, TSK-047, TSK-054, ARC-005, PRT-005",Parallel,0.0,N/A,Execution,AI
WFC-016,AI - Maintenance Tasks,N/A,4,"TSK-356, TSK-394, TSK-226, FIX-001",Parallel,0.0,N/A,Execution,AI
WFC-017,AI - Research Tasks,N/A,13,"TSK-399, TSK-423, TSK-468, TSK-469, TSK-382, TSK-255, TSK-267, TSK-301, TSK-176, TSK-065...",Parallel,5.0,N/A,Execution,AI
WFC-018,AI - Task Tasks,N/A,83,"TSK-397, TSK-401, TSK-406, TSK-418, TSK-420, TSK-426, TSK-427, TSK-437, TSK-442, TSK-452...",Parallel,0.0,N/A,Execution,AI
WFC-019,AI - Testing Tasks,N/A,5,"TSK-435, TSK-470, TSK-354, TSK-388, TSK-286",Parallel,0.0,N/A,Execution,AI
