Date,Source_File,Entity_Type,Entity_ID,Activity_Name,Full_Description,Related_Project,Related_Milestone,Department,Priority,Category,Tags
2025-12-21,211225_PROCESSED.md,PRT,PRT-011,Google Maps Scraping System,Google Maps Scraping System,,"MLT-029, MLT-030, MLT-031, MLT-032, MLT-033",AI,Critical,Infrastructure,"CRM, Entity System, Prompts"
2025-12-21,211225_PROCESSED.md,PRT,PRT-012,Reviews Scraping & Analysis System,Reviews Scraping & Analysis System,,"MLT-034, MLT-035, MLT-036, MLT-037, MLT-038",AI,Critical,Infrastructure,Entity System
2025-12-21,211225_PROCESSED.md,PRT,PRT-013,Job Sites Entity Creation,Job Sites Entity Creation,,,AI,High,Automation,"VS Code, Claude, AI Tools, Taxonomy, Entity System"
2025-12-21,211225_PROCESSED.md,PRT,PRT-014,HR Attendance Dashboard,HR Attendance Dashboard,,,AI,Critical,Infrastructure,"Dropbox, GitHub, CRM, Discord, Vercel"
2025-12-21,211225_PROCESSED.md,PRT,PRT-015,Vilhelm Onboarding & Video Processing Training,Vilhelm Onboarding & Video Processing Training,,,AI,Critical,Infrastructure,"VS Code, Claude, AI Tools, Entity System, Prompts"
2025-12-21,211225_PROCESSED.md,PRT,PRT-016,AI Tools & Accounts Management System,AI Tools & Accounts Management System,,,AI,Critical,Infrastructure,"Dropbox, VS Code, Claude, AI Tools, Entity System"
2025-12-21,211225_PROCESSED.md,PRT,PRT-017,Task Manager Dashboard (Single Task View),Task Manager Dashboard (Single Task View),,,AI,Medium,Infrastructure,"AI Tools, Entity System, Prompts, Dashboard"
2025-11-22,221125_PROCESSED.md,PRT,PRT-004,Single Sign-In Distribution System,Single Sign-In Distribution System,,"MLT-019, MLT-020, MLT-021, MLT-022",AI,High,Infrastructure,
2025-11-22,221125_PROCESSED.md,PRT,PRT-005,GitHub Entities Repository Integration,GitHub Entities Repository Integration,,"MLT-023, MLT-024, MLT-025",AI,High,Integration,"Dropbox, GitHub, AI Tools, Taxonomy, Entity System"
2025-11-22,221125_PROCESSED.md,PRT,PRT-006,ID System for Services,ID System for Services,,,AI,High,Infrastructure,"Dropbox, Taxonomy, Entity System"
2025-11-22,221125_PROCESSED.md,PRT,PRT-007,Research Integration with Google TODO,Research Integration with Google TODO,,,AI,Medium,Automation,
2025-11-22,221125_PROCESSED.md,PRT,PRT-008,Researches Dashboard,Researches Dashboard,,"MLT-026, MLT-027",AI,High,Infrastructure,"Entity System, Dashboard"
2025-11-22,221125_PROCESSED.md,PRT,PRT-009,PROSPECTS → Populate Data with AI Research,PROSPECTS → Populate Data with AI Research,,,AI,Critical,Infrastructure,"CRM, Entity System"
2025-11-22,221125_PROCESSED.md,PRT,PRT-010,Affiliation Department Creation,Affiliation Department Creation,,,AI,Low,Infrastructure,"Taxonomy, Entity System"
2025-12-23,231225_PROCESSED.md,PRT,PRT-001,Video Processing Automation,Video Processing Automation,,"MLT-010, MLT-011, MLT-012",AI,High,Automation,
2025-12-23,231225_PROCESSED.md,PRT,PRT-002,Entity System Cleanup,Entity System Cleanup,,"MLT-013, MLT-014, MLT-015",AI,Critical,Infrastructure,Entity System
2025-12-23,231225_PROCESSED.md,PRT,PRT-003,Research Integration Pipeline,Research Integration Pipeline,,"MLT-016, MLT-017, MLT-018",AI,Low,Infrastructure,"Dropbox, Entity System, Dashboard"
