"New_ID","Name","Description","Department","File_Path","Status"
"TSM-001","Project Templates Meta-Category","Meta-level category organizing all Project Template entities (9 PRT instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/","Active"
"TSM-002","Milestone Templates Meta-Category","Meta-level category organizing all Milestone Template entities (28 MLT instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/","Active"
"TSM-003","Task Templates Meta-Category","Meta-level category organizing all Task Template entities (71 TST instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/","Active"
"TSM-004","Step Templates Meta-Category","Meta-level category organizing all Step Template entities (379 STT instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-004_Step_Templates/","Active"
"TSM-005","Checklist Templates Meta-Category","Meta-level category organizing all Checklist Template entities (98 CHT instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-005_Checklist_Items/","Active"
"TSM-006","Workflows Meta-Category","Meta-level category organizing all Workflow entities (20 WRF instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-006_Workflows/","Active"
"TSM-007","Guides Meta-Category","Meta-level category organizing all Guide entities (8+ GDS instances)","ALL","ENTITIES/TASK_MANAGERS/TSM-007_GUIDES/","Active"
"TSM-008","Research Meta-Category","Meta-level category organizing all Research entities (50+ RSR instances)","ALL","ENTITIES/TASK_MANAGERS/RESEARCHES/","Active"
"PRT-001","AI Tutorial Research to Taxonomy Integration","Complete workflow for discovering AI tutorial videos via Perplexity tracking influencers transcribing content and extracting taxonomy","AIA","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-001_AI.json","Active"
"PRT-002","Complete MCP Automation Stack Setup","Full infrastructure setup for email and calendar automation using Model Context Protocol connectors with Claude Desktop","DEV","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-002_DEV.json","Active"
"PRT-003","Complete HR Automation Implementation","End-to-end implementation of HR automation system for CV screening recruitment interview scheduling and onboarding","HRM","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-003_HR.json","Active"
"PRT-004","Complete Lead Generation to Customer Conversion Campaign","End-to-end workflow for generating leads from Google SERP enriching with emails and automating outreach","LGN","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-004_LG.json","Active"
"PRT-005","Enterprise Account-Based Marketing Campaign","Advanced multi-contact enterprise targeting campaign using Airscale directory unlock and email enrichment","LGN","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-005_LG.json","Active"
"PRT-006","Research to Taxonomy Integration Pipeline","Complete Project Template for conducting research processing videos and integrating findings into taxonomy","AIA","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-006_RES.json","Active"
"PRT-007","System Analysis","System architecture analysis and documentation project","AIA","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-007_System_Analysis.json","Active"
"PRT-008","VIDEO","Video production and processing workflow","VID","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/Project-Template-008_VIDEO.json","Active"
"PRT-009","Responsibilities Ecosystem","Ecosystem responsibilities and governance framework","AIA","ENTITIES/TASK_MANAGERS/TSM-001_Project_Templates/PROJ-LIB-001_Responsibilities_Ecosystem/project_instance.json","Active"
"MLT-001","Content Analysis","Initial content discovery and analysis phase","AIA","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-001_Content_Analysis.json","Active"
"MLT-002","Data Inventory","Data inventory and cataloging milestone","AIA","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-002_Data_Inventory.json","Active"
"MLT-003","Relationship Validation","Validation of entity relationships and dependencies","AIA","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-003_Relationship_Validation.json","Active"
"MLT-004","Schema Naming Validation","Schema and naming convention validation","AIA","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-004_Schema_Naming_Validation.json","Active"
"MLT-005","Synthesis Recommendations","Synthesis and recommendations milestone","AIA","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-005_Synthesis_Recommendations.json","Active"
"MLT-006","VIDEO-001 Research Complete","Video research phase completion","VID","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-006_VIDEO-001_Research_Complete.json","Active"
"MLT-007","VIDEO-002 Processing Complete","Video processing phase completion","VID","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-007_VIDEO-002_Processing_Complete.json","Active"
"MLT-008","VIDEO-003 Library Population Complete","Video library population completion","VID","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-008_VIDEO-003_Library_Population_Complete.json","Active"
"MLT-009","Behance Project Publishing","Behance design project publishing milestone","DSN","ENTITIES/TASK_MANAGERS/TSM-002_Milestone_Templates/Milestone-Template-009_Behance_Project_Publishing.json","Active"
"TST-001","AI-Powered HTML Parsing","Parse HTML content using AI for data extraction","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-001_AI_Powered_HTML_Parsing.json","Active"
"TST-002","Airscale Employee Enrichment","Enrich employee data using Airscale platform","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-002_Airscale_Employee_Enrichment.json","Active"
"TST-003","Anymailfinder Nominative Enrichment","Find and enrich contact emails using Anymailfinder","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-003_Anymailfinder_Nominative_Enrichment.json","Active"
"TST-004","Apollo IO Full Stack","Full-stack lead generation using Apollo.io platform","LGN","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-004_Apollo_IO_Full_Stack_DEPRECATED.json","Deprecated"
"TST-005","Automate Morning Email Drafting","Automate daily morning email response drafting","AIA","ENTITIES/TASK_MANAGERS/TSM-003_Task_Templates/TST-005_Automate_Morning_Email_Drafting.json","Active"
