Workflow_Cluster_ID,Workflow_Name,Related_Project_ID,Task_Count,Task_IDs,Cluster_Type,Total_Estimated_Hours,Milestone_Dependencies,Execution_Phase,Department,Task_Names,Task_Names
WFC-001,Develop USER Entities,PRT-005,1,TSK-062,Parallel,0.0,,Planning,AI,Develop USER Entities,Develop USER Entities
WFC-002,Prospects Architecture Improvement,PRT-009,6,"TSK-037, TSK-038, TSK-039, TSK-040, TSK-041, TSK-042",Sequential,14.0,MLT-022,Planning,"AI, Design, Development, Lead Generation, Sales",Prospects Architecture Improvement; Feed database: 300 new leads daily; Populate leads with classifications; Target audience analysis; Extract/analyze LG conversations; Build look-alike auditory,Prospects Architecture Improvement; Feed database: 300 new leads daily; Populate leads with classifications; Target audience analysis; Extract/analyze LG conversations; Build look-alike auditory
WFC-003,Populate Business Entity from Sales,PRT-010,1,TSK-049,Parallel,0.0,,Planning,AI,Populate Business Entity from Sales,Populate Business Entity from Sales
WFC-004,Find historical search queries file on Google Drive,PRT-011,15,"TSK-106, TSK-107, TSK-108, TSK-109, TSK-110, TSK-111, TSK-112, TSK-113, TSK-114, TSK-115...",Sequential,24.0,MLT-033,Planning,"AI, Lead Generation, Sales","Find historical search queries file on Google Drive; Reformat LinkedIn queries for Google Maps; Create detailed prompt for query generation (Column H); Build URL parsing script; Extract company name from URLs; Connect scraper to CRM automation; Implement duplicate checking against CRM; Test scraping with 3-4 videos about Google Maps scraping; Allocate 5 lead generators, 1-2 hours/day for Google Maps; ...","Find historical search queries file on Google Drive; Reformat LinkedIn queries for Google Maps; Create detailed prompt for query generation (Column H); Build URL parsing script; Extract company name from URLs; Connect scraper to CRM automation; Implement duplicate checking against CRM; Test scraping with 3-4 videos about Google Maps scraping; Allocate 5 lead generators, 1-2 hours/day for Google Maps; ..."
WFC-005,Document scraping system (20% checkpoint),PRT-012,13,"TSK-116, TSK-117, TSK-118, TSK-119, TSK-120, TSK-121, TSK-122, MLT-034, MLT-035, MLT-036...",Sequential,21.3,MLT-039,Planning,"AI, Design, Development, Lead Generation, SMM",Document scraping system (20% checkpoint); Research world methodologies on Google Maps scraping; Create guidelines for reviews scraping direction; Add source marking for Google Maps data; Implement social media scraping; Test review system with live data; Launch system with LGN team; Company & Reviews Data Collection; Semantic Analysis Setup; ...,Document scraping system (20% checkpoint); Research world methodologies on Google Maps scraping; Create guidelines for reviews scraping direction; Add source marking for Google Maps data; Implement social media scraping; Test review system with live data; Launch system with LGN team; Company & Reviews Data Collection; Semantic Analysis Setup; ...
WFC-006,Create Job Sites folder in ENTITIES/ACCOUNTS,PRT-013,5,"TSK-123, TSK-124, TSK-125, TSK-126, TSK-127",Sequential,12.0,MLT-039,Planning,"AI, Lead Generation",Create Job Sites folder in ENTITIES/ACCOUNTS; Review other entities' taxonomy; Build Job Sites entity structure; Create Master JSON for Job Sites; Document Job Sites entity,Create Job Sites folder in ENTITIES/ACCOUNTS; Review other entities' taxonomy; Build Job Sites entity structure; Create Master JSON for Job Sites; Document Job Sites entity
WFC-007,Deploy v1.0 to Vercel,PRT-014,12,"TSK-128, TSK-129, TSK-130, TSK-131, TSK-132, TSK-133, TSK-134, TSK-135, TSK-136, TSK-137...",Parallel,2.8,,Planning,"AI, Design, Development, HR",Deploy v1.0 to Vercel; Share dashboard access with all departments; Fix white text display; Add tool filtering feature; Implement user login tracking; Create user assignment system; Integrate UI Kit from Eleanor's work; Add calendar feature; Build API for dashboard data; ...,Deploy v1.0 to Vercel; Share dashboard access with all departments; Fix white text display; Add tool filtering feature; Implement user login tracking; Create user assignment system; Integrate UI Kit from Eleanor's work; Add calendar feature; Build API for dashboard data; ...
WFC-008,Teach Vilhelm video parsing workflow,PRT-015,10,"TSK-140, TSK-141, TSK-142, TSK-143, TSK-144, TSK-145, TSK-146, TSK-147, TSK-148, TSK-149",Parallel,16.0,,Planning,"AI, Lead Generation, SMM, Sales, Video","Teach Vilhelm video parsing workflow; Set up Vilhelm's VS Code with Claude Extension; Configure Vilhelm's key bindings; Introduce Vilhelm to ENTITIES structure; Assign Vilhelm accounts with limits; Vilhelm: Research YouTube channels on Google Maps scraping; Vilhelm: Parse 3-4 videos by Monday; Vilhelm: Create ""Deep Research"" task; Vilhelm: Check Online Academy for Deep Research content; Vilhelm: Integrate prompts into ENTITIES ecosystem","Teach Vilhelm video parsing workflow; Set up Vilhelm's VS Code with Claude Extension; Configure Vilhelm's key bindings; Introduce Vilhelm to ENTITIES structure; Assign Vilhelm accounts with limits; Vilhelm: Research YouTube channels on Google Maps scraping; Vilhelm: Parse 3-4 videos by Monday; Vilhelm: Create ""Deep Research"" task; Vilhelm: Check Online Academy for Deep Research content; Vilhelm: Integrate prompts into ENTITIES ecosystem"
WFC-009,Document current AI tools tracking system,PRT-016,7,"TSK-150, TSK-151, TSK-152, TSK-153, TSK-154, TSK-155, TSK-156",Parallel,13.1,,Planning,"AI, Development, Sales",Document current AI tools tracking system; Add user assignment field to accounts; Implement login session tracking; Create token usage alerts; Purchase additional AI tool accounts; Sync Dropbox Tools to libdev.com; Build account rotation recommendations,Document current AI tools tracking system; Add user assignment field to accounts; Implement login session tracking; Create token usage alerts; Purchase additional AI tool accounts; Sync Dropbox Tools to libdev.com; Build account rotation recommendations
WFC-010,Design single task page layout,PRT-017,6,"TSK-157, TSK-158, TSK-159, TSK-160, TSK-161, TSK-162",Parallel,0.7,,Planning,"AI, Design",Design single task page layout; Create prompt for task page generation; Build HTML template for single task; Test with Deep Research task; Create research queue/line system; Integrate with TASK_MANAGERS data,Design single task page layout; Create prompt for task page generation; Build HTML template for single task; Test with Deep Research task; Create research queue/line system; Integrate with TASK_MANAGERS data
WFC-011,AI - Design Tasks,N/A,2,"TSK-272, TSK-210",Parallel,0.0,N/A,Execution,AI,Design Task Manager choice/selection system; Train designers on AI tools,Design Task Manager choice/selection system; Train designers on AI tools
WFC-012,AI - Development Tasks,N/A,56,"TSK-398, TSK-403, TSK-404, TSK-415, TSK-417, TSK-421, TSK-424, TSK-429, TSK-438, TSK-440...",Parallel,2.0,N/A,Execution,AI,"Implement secret scanning in repos; Create email template with conversation references; Implement deep research before email sending; Create script for daily notes action extraction; Implement object extraction after actions; Create deep research template (10-15 pages); Create ""new lesson of the week"" system; Create research list for Finance 2025; Create innovation rollout process; ...","Implement secret scanning in repos; Create email template with conversation references; Implement deep research before email sending; Create script for daily notes action extraction; Implement object extraction after actions; Create deep research template (10-15 pages); Create ""new lesson of the week"" system; Create research list for Finance 2025; Create innovation rollout process; ..."
WFC-013,AI - Documentation Tasks,N/A,6,"TSK-355, TSK-260, TSK-280, TSK-180, TSK-213, TSK-228",Parallel,0.0,N/A,Execution,AI,Document deprecated/archived entities; Document data import flows; Document departments folder architecture; Document schedule management techniques; Document calculation sources; Document report generation process,Document deprecated/archived entities; Document data import flows; Document departments folder architecture; Document schedule management techniques; Document calculation sources; Document report generation process
WFC-014,AI - Infrastructure Tasks,N/A,10,"PRT-012, PRT-015, PRT-016, PRT-017, PRT-004, PRT-006, PRT-008, PRT-010, PRT-002, PRT-003",Parallel,1.0,N/A,Execution,AI,Reviews Scraping & Analysis System; Vilhelm Onboarding & Video Processing Training; AI Tools & Accounts Management System; Task Manager Dashboard (Single Task View); Single Sign-In Distribution System; ID System for Services; Researches Dashboard; Affiliation Department Creation; Entity System Cleanup; Research Integration Pipeline,Reviews Scraping & Analysis System; Vilhelm Onboarding & Video Processing Training; AI Tools & Accounts Management System; Task Manager Dashboard (Single Task View); Single Sign-In Distribution System; ID System for Services; Researches Dashboard; Affiliation Department Creation; Entity System Cleanup; Research Integration Pipeline
WFC-015,AI - Integration Tasks,N/A,8,"TSK-419, TSK-393, TSK-241, TSK-305, TSK-047, TSK-054, ARC-005, PRT-005",Parallel,0.0,N/A,Execution,AI,Integrate multiple AI platforms for processing; Integrate checklist items into task system; Integrate IDS system (RPT-###); List automations to learn or integrate; Connect to Google Calendar; Connect Task Managers to Libs; Integrate Log System; GitHub Entities Repository Integration,Integrate multiple AI platforms for processing; Integrate checklist items into task system; Integrate IDS system (RPT-###); List automations to learn or integrate; Connect to Google Calendar; Connect Task Managers to Libs; Integrate Log System; GitHub Entities Repository Integration
WFC-016,AI - Maintenance Tasks,N/A,4,"TSK-356, TSK-394, TSK-226, FIX-001",Parallel,0.0,N/A,Execution,AI,Update milestone prefix from MLS-### to MLST-###; Fix cursor flickering issue; Fix unpredictable save locations; Resolve duplicates in TSM-006_Workflows,Update milestone prefix from MLS-### to MLST-###; Fix cursor flickering issue; Fix unpredictable save locations; Resolve duplicates in TSM-006_Workflows
WFC-017,AI - Research Tasks,N/A,13,"TSK-399, TSK-423, TSK-468, TSK-469, TSK-382, TSK-255, TSK-267, TSK-301, TSK-176, TSK-065...",Parallel,5.0,N/A,Execution,AI,Conduct deep research on Desert Greener; Integrate company context into research; Integrate Research ID system (RES-###); Add ISO 3-letter codes to research; Match research prompt naming conventions; Run methodologies skill-up project research; Update daily review prompts; Prepare list of researches for Entity: Researches; Research Gravity AI tool capabilities; ...,Conduct deep research on Desert Greener; Integrate company context into research; Integrate Research ID system (RES-###); Add ISO 3-letter codes to research; Match research prompt naming conventions; Run methodologies skill-up project research; Update daily review prompts; Prepare list of researches for Entity: Researches; Research Gravity AI tool capabilities; ...
WFC-018,AI - Task Tasks,N/A,83,"TSK-397, TSK-401, TSK-406, TSK-418, TSK-420, TSK-426, TSK-427, TSK-437, TSK-442, TSK-452...",Parallel,0.0,N/A,Execution,AI,Audit all files for exposed credentials; Schedule WhatsApp call with Wilhelm; Find substitute person for Vamos project; Reduce token consumption via scripting; Continue data structuring work; Export Week 2 tasks list; Deprecate old workflow system; Use Overview folder data for analysis; Assign department checkers; ...,Audit all files for exposed credentials; Schedule WhatsApp call with Wilhelm; Find substitute person for Vamos project; Reduce token consumption via scripting; Continue data structuring work; Export Week 2 tasks list; Deprecate old workflow system; Use Overview folder data for analysis; Assign department checkers; ...
WFC-019,AI - Testing Tasks,N/A,5,"TSK-435, TSK-470, TSK-354, TSK-388, TSK-286",Parallel,0.0,N/A,Execution,AI,Verify Dropbox + VSCode + Extensions for all; Test entity upload to Postgres; Cross-validate with existing listings; Test backend generation on small entity; Verify LG data in DropBox,Verify Dropbox + VSCode + Extensions for all; Test entity upload to Postgres; Cross-validate with existing listings; Test backend generation on small entity; Verify LG data in DropBox
WFC-020,Design - Design Tasks,N/A,9,"TSK-345, TSK-386, TSK-387, TSK-237, TSK-249, TSK-201, TSK-206, TSK-208, TSK-056",Parallel,0.0,N/A,Execution,Design,Design permission system architecture; Design step-by-step content templates; Design microservice methodology; Find and download Google Drive guides in Markdown; Store Online Academy links in guides; Vilhelm + Yulya: Collect designer works; Mandate Dropbox work storage for designers; Diversify designer portfolios; n8n Image Generation Guide,Design permission system architecture; Design step-by-step content templates; Design microservice methodology; Find and download Google Drive guides in Markdown; Store Online Academy links in guides; Vilhelm + Yulya: Collect designer works; Mandate Dropbox work storage for designers; Diversify designer portfolios; n8n Image Generation Guide
WFC-021,Design - Development Tasks,N/A,31,"TSK-416, TSK-430, TSK-449, TSK-456, TSK-462, TSK-471, TSK-475, TSK-332, TSK-367, TSK-369...",Parallel,0.0,N/A,Execution,Design,Build intermediate export folders structure; Build reports in ANALYTICS folder; Build Discord voice log export; Build similar/connected words in LIBRARIES; Build research prompts for developer tutorials; Build matching schemas for consistency; Build central IDs with names center; Build index files for machine/AI access; Build Google Sheets integration workflow; ...,Build intermediate export folders structure; Build reports in ANALYTICS folder; Build Discord voice log export; Build similar/connected words in LIBRARIES; Build research prompts for developer tutorials; Build matching schemas for consistency; Build central IDs with names center; Build index files for machine/AI access; Build Google Sheets integration workflow; ...
WFC-022,Design - Documentation Tasks,N/A,4,"TSK-264, TSK-311, TSK-203, TSK-232",Parallel,8.0,N/A,Execution,Design,Write learning materials generation guide; Design core documents; Document Monday progress; Document design updates log,Write learning materials generation guide; Design core documents; Document Monday progress; Document design updates log
WFC-023,Design - Research Tasks,N/A,2,"TSK-205, TSK-076",Parallel,7.0,N/A,Execution,Design,Review all designer portfolios; Deep Research Designer Task,Review all designer portfolios; Deep Research Designer Task
WFC-024,Design - Task Tasks,N/A,10,"TSK-344, TSK-200, TSK-074, TSK-AID-2025-11-20-001, TSK-DEV-2025-11-20-003, TSK-DEV-2025-11-20-007, TSK-DGN-2025-11-20-001, TSK-DGN-2025-11-20-004, TSK-DGN-2025-11-20-008, TSK-VID-2025-11-20-003",Parallel,0.0,N/A,Execution,Design,Add Balkans as region in system; Monday call at 9 AM; Portfolio Diversification Strategy; Antigravity Installation and Configuration; UI Enhancement - Hover Effects; Dashboard/Courses UI Improvements; Game Academy Course Covers Delivery; Course Visual Materials Creation (Module 1); Antigravity Installation and Setup; Team Coordination,Add Balkans as region in system; Monday call at 9 AM; Portfolio Diversification Strategy; Antigravity Installation and Configuration; UI Enhancement - Hover Effects; Dashboard/Courses UI Improvements; Game Academy Course Covers Delivery; Course Visual Materials Creation (Module 1); Antigravity Installation and Setup; Team Coordination
WFC-025,Development - Development Tasks,N/A,11,"TSK-448, TSK-467, TSK-335, TSK-347, TSK-348, TSK-380, TSK-389, TSK-390, TSK-279, TSK-051...",Parallel,15.0,N/A,Execution,Development,Create CRM API integration; Create unified research prompt schema; Create backend for DropBox SubEntity; Implement profession/role-based permissions; Create Auth User Service documentation; Create task template schema; Build GitHub-Dropbox sync for backend; Create dynamic Postgres generation; Create reusable microservice template; ...,Create CRM API integration; Create unified research prompt schema; Create backend for DropBox SubEntity; Implement profession/role-based permissions; Create Auth User Service documentation; Create task template schema; Build GitHub-Dropbox sync for backend; Create dynamic Postgres generation; Create reusable microservice template; ...
WFC-026,Development - Documentation Tasks,N/A,2,"TSK-178, TSK-230",Parallel,12.0,N/A,Execution,Development,Document Gravity integration; Write README with all links,Document Gravity integration; Write README with all links
WFC-027,Development - Integration Tasks,N/A,3,"TSK-334, TSK-195, TSK-053",Parallel,0.0,N/A,Execution,Development,Sync Task Template to backend; Sync Dropbox Tools library to libdev.com; Synchronize Libs with Online Academy,Sync Task Template to backend; Sync Dropbox Tools library to libdev.com; Synchronize Libs with Online Academy
WFC-028,Development - Research Tasks,N/A,2,"TSK-271, TSK-196",Parallel,12.0,N/A,Execution,Development,Research AirTable integration options; Research Dropbox API synchronization,Research AirTable integration options; Research Dropbox API synchronization
WFC-029,Development - Task Tasks,N/A,13,"TSK-395, TSK-396, TSK-333, TSK-391, TSK-322, TSK-309, TSK-231, TSK-052, TSK-AID-2025-11-20-004, TSK-AID-2025-11-20-005...",Parallel,0.0,N/A,Execution,Development,REVOKE exposed GitHub token immediately; Generate new GitHub token; Save schemas inside folders with field definitions; Organize API tokens management; Deploy Google AntiGravity for team; Canva download/integration; Set up version tracking; Track Task Completions via Microservices; Account Microservice Database Schema Design; ...,REVOKE exposed GitHub token immediately; Generate new GitHub token; Save schemas inside folders with field definitions; Organize API tokens management; Deploy Google AntiGravity for team; Canva download/integration; Set up version tracking; Track Task Completions via Microservices; Account Microservice Database Schema Design; ...
WFC-030,Finance - Development Tasks,N/A,5,"TSK-351, TSK-262, TSK-266, TSK-173, TSK-212",Parallel,15.0,N/A,Execution,Finance,"Create taxonomy initial ID inventory; Create input type taxonomy (Research, Video, etc.); Create taxonomy introduction materials; Implement taxonomy upgrades; Create data sets for financial wiki","Create taxonomy initial ID inventory; Create input type taxonomy (Research, Video, etc.); Create taxonomy introduction materials; Implement taxonomy upgrades; Create data sets for financial wiki"
WFC-031,Finance - Maintenance Tasks,N/A,2,"TSK-411, TSK-392",Parallel,6.0,N/A,Execution,Finance,Resolve accounting/payment issues; Fix taxonomy location (move if needed),Resolve accounting/payment issues; Fix taxonomy location (move if needed)
WFC-032,Finance - Research Tasks,N/A,4,"TSK-349, TSK-171, TSK-066, TSK-066",Parallel,11.0,N/A,Execution,Finance,Review GPT usage and costs; Review current video processing taxonomy; Core System Taxonomy Architecture Review; Core System Taxonomy Architecture Review,Review GPT usage and costs; Review current video processing taxonomy; Core System Taxonomy Architecture Review; Core System Taxonomy Architecture Review
WFC-033,Finance - Task Tasks,N/A,9,"TSK-428, TSK-431, TSK-350, TSK-357, TSK-244, TSK-251, TSK-172, TSK-192, TSK-FIN-2025-11-20-002",Parallel,24.0,N/A,Execution,Finance,Structure financial folder architecture; Generate prompts for financial analysis; Identify cost-cutting opportunities; Filter daily notes by taxonomy; Update master taxonomy; Apply taxonomy to Academy structure; Identify taxonomy improvements; Define pricing per profession; December 2025 Financial Processing Sheet Preparation Plan,Structure financial folder architecture; Generate prompts for financial analysis; Identify cost-cutting opportunities; Filter daily notes by taxonomy; Update master taxonomy; Apply taxonomy to Academy structure; Identify taxonomy improvements; Define pricing per profession; December 2025 Financial Processing Sheet Preparation Plan
WFC-034,HR - Development Tasks,N/A,17,"TSK-409, TSK-432, TSK-434, TSK-441, TSK-447, TSK-336, TSK-346, TSK-373, TSK-324, TSK-329...",Parallel,30.0,N/A,Execution,HR,Create retention strategy; Create employee 1:1 session template; Build script to check employee file status; Build employee verification shifts; Build attendance statistics export system; Build alert system for fired/left employees; Implement employee-based permissions; Build continuous employee profile improvement system; Build employee choice/selection system; ...,Create retention strategy; Create employee 1:1 session template; Build script to check employee file status; Build employee verification shifts; Build attendance statistics export system; Build alert system for fired/left employees; Implement employee-based permissions; Build continuous employee profile improvement system; Build employee choice/selection system; ...
WFC-035,HR - Documentation Tasks,N/A,2,"TSK-412, TSK-317",Parallel,3.0,N/A,Execution,HR,Document retention process; Document interview requirements checklist,Document retention process; Document interview requirements checklist
WFC-036,HR - Integration Tasks,N/A,4,"TSK-337, TSK-374, TSK-299, TSK-033",Parallel,8.0,N/A,Execution,HR,Connect Accounts to Talents profiles; Integrate attendance with employee profiles; Integrate shifts management; Integrate Individual Employee Testing,Connect Accounts to Talents profiles; Integrate attendance with employee profiles; Integrate shifts management; Integrate Individual Employee Testing
WFC-037,HR - Research Tasks,N/A,3,"TSK-450, TSK-375, TSK-063",Parallel,12.0,N/A,Execution,HR,Parse and analyze daily attendance; Analyze employee daily records; Review TALENTS match with Database,Parse and analyze daily attendance; Analyze employee daily records; Review TALENTS match with Database
