New_ID,Entity_Type,Current_ID,Name,Description,Department,File_Path,Status
STT-001,Step_Template,Step-Template-001_Add_Interview_Subtitles_and_Approve_TEMPLATE-TASK-HR-003,Add Interview Subtitles And Approve Template Task Hr 003,Step template for add interview subtitles and approve template task hr 003,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-001_Add_Interview_Subtitles_and_Approve_TEMPLATE-TASK-HR-003.json,Active
STT-002,Step_Template,Step-Template-002_Archive_Edited_Video_to_Drive_TEMPLATE-TASK-HR-003,Archive Edited Video To Drive Template Task Hr 003,Step template for archive edited video to drive template task hr 003,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-002_Archive_Edited_Video_to_Drive_TEMPLATE-TASK-HR-003.json,Active
STT-003,Step_Template,Step-Template-003_Create_Employee_Folder_in_Google_Drive_TEMPLATE-TASK-HR-AUTO-006,Create Employee Folder In Google Drive Template Task Hr Auto 006,Step template for create employee folder in google drive template task hr auto 006,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-003_Create_Employee_Folder_in_Google_Drive_TEMPLATE-TASK-HR-AUTO-006.json,Active
STT-004,Step_Template,Step-Template-004_Edit_Video_Interview_Footage_TEMPLATE-TASK-HR-003,Edit Video Interview Footage Template Task Hr 003,Step template for edit video interview footage template task hr 003,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-004_Edit_Video_Interview_Footage_TEMPLATE-TASK-HR-003.json,Active
STT-005,Step_Template,Step-Template-005_Identify_Target_Website_TEMPLATE-TASK-014,Identify Target Website Template Task 014,Step template for identify target website template task 014,AID,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-005_Identify_Target_Website_TEMPLATE-TASK-014.json,Active
STT-006,Step_Template,Step-Template-006_Optimize_YouTube_Metadata_TEMPLATE-TASK-HR-003,Optimize Youtube Metadata Template Task Hr 003,Step template for optimize youtube metadata template task hr 003,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-006_Optimize_YouTube_Metadata_TEMPLATE-TASK-HR-003.json,Active
STT-007,Step_Template,Step-Template-007_Publish_Video_Interview_on_YouTube_TEMPLATE-TASK-HR-003,Publish Video Interview On Youtube Template Task Hr 003,Step template for publish video interview on youtube template task hr 003,HRM,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-007_Publish_Video_Interview_on_YouTube_TEMPLATE-TASK-HR-003.json,Active
STT-008,Step_Template,Step-Template-008_STEP-VIDEO-001-01_Review_Strategic_Priorities,Step Video 001 01 Review Strategic Priorities,Step template for step video 001 01 review strategic priorities,VID,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-008_STEP-VIDEO-001-01_Review_Strategic_Priorities.json,Active
STT-009,Step_Template,Step-Template-009_STEP-VIDEO-001-02_Configure_Perplexity,Step Video 001 02 Configure Perplexity,Step template for step video 001 02 configure perplexity,VID,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-009_STEP-VIDEO-001-02_Configure_Perplexity.json,Active
STT-010,Step_Template,Step-Template-010_STEP-VIDEO-001-03_Search_Videos,Step Video 001 03 Search Videos,Step template for step video 001 03 search videos,VID,ENTITIES/TASK_MANAGERS/Step_Templates/Step-Template-010_STEP-VIDEO-001-03_Search_Videos.json,Active
