ID,Name,Category,File_Path,Status
PRM-001,Video Transcription Custom Instructions,Video & Analysis,ENTITIES/PROMPTS/Video_Transcription_Custom_Instructions.md,Active
PRM-002,Video Naming Business Alternatives,Video & Analysis,ENTITIES/PROMPTS/Video_Naming_Business_Alternatives_Prompt.md,Active
PRM-003,Video Analysis Prompt,Video & Analysis,ENTITIES/PROMPTS/Video_Analysis_Prompt.md,Active
PRM-004,Objects Library Extraction Prompt,Video & Analysis,ENTITIES/PROMPTS/Objects_Library_Extraction_Prompt.md,Active
PRM-005,Taxonomy Analysis and Updates Prompt,AID,ENTITIES/PROMPTS/Taxonomy_Analysis_and_Updates_Prompt.md,Active
PRM-006,Tools Collection and Matching Prompt,AID,ENTITIES/PROMPTS/Tools_Collection_and_Matching_Prompt.md,Active
PRM-007,Products Integration Prompt,AID,ENTITIES/PROMPTS/Products_Integration_Prompt.md,Active
PRM-008,Task Manager Entity Filling Prompt,AID,ENTITIES/PROMPTS/Task_Manager_Entity_Filling_Prompt.md,Active
PRM-009,VSCode Agent HQ Research Prompt,AID,ENTITIES/PROMPTS/VSCode_Agent_HQ_Research_Prompt.md,Active
PRM-010,YouTube AI HR Tutorials Research Prompt,HRM,ENTITIES/PROMPTS/YouTube_AI_HR_Tutorials_Research_Prompt.md,Active
PRM-011,YouTube AI Tools Daily Research Prompt,AID,ENTITIES/PROMPTS/YouTube_AI_Tools_Daily_Research_Prompt.md,Active
PRM-012,YouTube HR Automation Research Prompt,HRM,ENTITIES/PROMPTS/YouTube_HR_Automation_Research_Prompt.md,Active
PRM-013,Sales Department Research Prompt,SLS,ENTITIES/PROMPTS/Sales_Department_Research_Prompt.md,Active
PRM-014,YouTube Video Research RemoteHelpers Nov2025,AID,ENTITIES/PROMPTS/YouTube_Video_Research_Prompt_RemoteHelpers_Nov2025.md,Active
PRM-015,CV Parser v1,HR Operations,ENTITIES/PROMPTS/CV_Parser_v1.md,Active
PRM-016,Communication Templates Prompt,HR Operations,ENTITIES/PROMPTS/Communication_Templates_Prompt.md,Active
PRM-017,CRM Data Entry Prompt,HR Operations,ENTITIES/PROMPTS/CRM_Data_Entry_Prompt.md,Active
PRM-018,Interview Conductor Prompt,HR Operations,ENTITIES/PROMPTS/Interview_Conductor_Prompt.md,Active
PRM-019,Job Sites Deep Research Prompt,HR Operations,ENTITIES/PROMPTS/Job_Sites_Deep_Research_Prompt.md,Active
PRM-020,Document Finished Project,Workflows,ENTITIES/PROMPTS/PROMPT_Document_Finished_Project.md,Active
PRM-021,AI Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_AI_Daily_Report.md,Active
PRM-022,Development Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Dev_Daily_Report.md,Active
PRM-023,Design Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Design_Daily_Report.md,Active
PRM-024,HR Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_HR_Daily_Report.md,Active
PRM-025,Lead Generation Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_LG_Daily_Report.md,Active
PRM-026,Marketing Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Marketing_Daily_Report.md,Active
PRM-027,Sales Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Sales_Daily_Report.md,Active
PRM-028,Social Media Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_SMM_Daily_Report.md,Active
PRM-029,Video Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Video_Daily_Report.md,Active
PRM-030,Finance Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Finance_Daily_Report.md,Active
PRM-031,Content Daily Report,Daily Reports,ENTITIES/PROMPTS/PROMPT_Content_Daily_Report.md,Active
PRM-032,Daily Report Collection,Daily Reports,ENTITIES/PROMPTS/PROMPT_Daily_Report_Collection.md,Active
PRM-033,Enhanced Department Prompt Template,Daily Reports,ENTITIES/PROMPTS/TEMPLATE_Enhanced_Department_Prompt.md,Active
PRM-034,Main Prompt v2,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v2.md,Deprecated
PRM-035,Main Prompt v3,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v3.md,Deprecated
PRM-036,Main Prompt v4,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v4.md,Active
PRM-037,Main Prompt v5,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v5_Modular/,Active
PRM-038,Main Prompt v6 Draft,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v6_DRAFT.md,Draft
PRM-039,Create Main Prompt v5,Core System,ENTITIES/PROMPTS/Core/CREATE_MAIN_PROMPT_v5.md,Active
PRM-040,Reverse Prompt Engineering Analysis,Core System,ENTITIES/PROMPTS/Core/MAIN_PROMPT_v5_Modular/REVERSE_PROMPT_ENGINEERING_Analysis.md,Active
PRM-041,Build Taxonomy ID System,Taxonomy,ENTITIES/PROMPTS/PROMPT_Build_Taxonomy_ID_System.md,Active
PRM-042,Build Employee Profile Schema Workflow,Taxonomy,ENTITIES/PROMPTS/PROMPT_Build_Employee_Profile_Schema_Workflow.md,Active
