Category,Count,Entity_IDs
Automation,3,"PRT-013, PRT-007, PRT-001"
Design,17,"TSK-408, TSK-340, TSK-345, TSK-386, TSK-387, TSK-237, TSK-249, TSK-272, TSK-134, TSK-157"
Development,156,"TSK-398, TSK-403, TSK-404, TSK-409, TSK-415, TSK-416, TSK-417, TSK-421, TSK-422, TSK-424"
Documentation,23,"TSK-412, TSK-414, TSK-459, TSK-355, TSK-260, TSK-264, TSK-280, TSK-311, TSK-317, TSK-116"
Infrastructure,13,"PRT-011, PRT-012, PRT-014, PRT-015, PRT-016, PRT-017, PRT-004, PRT-006, PRT-008, PRT-009"
Integration,22,"TSK-419, TSK-334, TSK-337, TSK-374, TSK-393, TSK-241, TSK-276, TSK-299, TSK-305, TSK-111"
Maintenance,8,"TSK-402, TSK-411, TSK-356, TSK-392, TSK-394, TSK-130, TSK-226, FIX-001"
Research,38,"TSK-399, TSK-400, TSK-423, TSK-425, TSK-450, TSK-466, TSK-468, TSK-469, TSK-349, TSK-363"
Task,162,"TSK-395, TSK-396, TSK-397, TSK-401, TSK-405, TSK-406, TSK-407, TSK-410, TSK-413, TSK-418"
Testing,8,"TSK-435, TSK-470, TSK-354, TSK-362, TSK-388, TSK-286, TSK-113, TSK-043"
