Task_ID,Task_Name,Original_Department,Reclassified_Department,Category,Priority,Matched_Template_ID,Match_Confidence,Match_Score,Match_Reasoning,Estimated_Duration,Complexity,Required_Skills,Required_Tools,Template_Steps_Count,Template_Profession,Matched_Responsibility
TSK-395,REVOKE exposed GitHub token immediately,AI,Development,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-396,Generate new GitHub token,AI,Development,Task,High,TST-023_File_Count_Distribution,Medium,30,Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-397,Audit all files for exposed credentials,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-398,Implement secret scanning in repos,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-399,Conduct deep research on Desert Greener,AI,AI,Research,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (research),N/A,N/A,,,0,N/A,N/A
TSK-400,Prepare pre-meeting research template,AI,Sales,Research,High,Task-Template-045,Medium,50,Category match (research); Action keyword match (research); Text similarity (1 common words),6-9 hours (4-6 hours research + 2-3 hours documentation),N/A,,"Perplexity AI, YouTube, Google Search, Text editor (VS Code/Cursor), Spreadsheet tool (for comparison matrices)",8,AI Researcher / Video Production Specialist,manage sales pipeline
TSK-401,Schedule WhatsApp call with Wilhelm,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-402,Fix email personalization - add LinkedIn context,AI,Lead Generation,Maintenance,High,Task-Template-080,Medium,40,Department match (Lead Generation),3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),N/A,,"CRM system (HubSpot, Salesforce, Pipedrive), LinkedIn and LinkedIn Sales Navigator, TOL-092 (Discord) for team communication, TOL-045 (Google Sheets) for lead tracking, Email finder tools (Hunter.io, Apollo.io)",7,Lead Generation Specialist / Sales Development Rep,generate leads
TSK-403,Create email template with conversation references,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-404,Implement deep research before email sending,AI,AI,Development,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (development),N/A,N/A,,,0,N/A,N/A
TSK-405,Add clear next-step instructions for clients,AI,Sales,Task,High,Task-Template-021,Medium,45,Department match (Sales); Text similarity (1 common words),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-406,Find substitute person for Vamos project,AI,AI,Task,High,TST-023_File_Count_Distribution,High,70,Department match (AI); Category match (task),N/A,N/A,,,0,N/A,N/A
TSK-407,Talk to Dasha about retention,AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-408,Identify issues causing quit desire,AI,HR,Design,High,Task-Template-041,Medium,55,Department match (HR); Action keyword match (ui),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-409,Create retention strategy,AI,HR,Development,High,Task-Template-041,Medium,55,Department match (HR); Action keyword match (build),2-3 hours,N/A,,"Notion, Typeform (for application forms), n8n (for integration), Google Sheets (optional for data migration)",10,HR Manager / Operations Specialist,N/A
TSK-410,Retain Vamos employee (2 years tenure),AI,HR,Task,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-411,Resolve accounting/payment issues,AI,Finance,Maintenance,High,Task-Template-081,Medium,40,Department match (Finance),3 hours (45 min requirements + 1.5 hours design + 45 min testing),N/A,,"TOL-119 (n8n) for workflow automation, TOL-045 (Google Sheets) for data source/destination, TOL-003 (Gemini 3 Pro) for workflow logic assistance, Accounting software API (QuickBooks, Xero), Testing environment for validation",7,Finance Manager / Automation Specialist,N/A
TSK-412,Document retention process,AI,HR,Documentation,High,Task-Template-039,Medium,40,Department match (HR),2-3 hours (one-time setup),N/A,,"n8n Cloud (EU datacenter for GDPR), Gmail, Google Gemini API, Google Sheets",7,HR Manager / Automation Specialist,N/A
TSK-413,Communicate final decision to MASEK client,AI,Sales,Task,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
TSK-414,Document client termination policy,AI,Sales,Documentation,High,Task-Template-021,Medium,40,Department match (Sales),4-5 hours for 50 emails,N/A,,"CRM, Email Platform (Gmail), Custom GPT (Email Generation), n8n (Optional automation)",6,Sales Manager,manage sales pipeline
