Queue_Position,Task_ID,Task_Name,Priority,Reclassified_Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
1,PRT-011,Google Maps Scraping System,Critical,Lead Generation,Infrastructure,,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Infrastructure,2,Yes,High,Task-Template-080
2,PRT-014,HR Attendance Dashboard,Critical,Development,Infrastructure,,DevOps Engineer / Cloud Engineer,4 hours (1 hour planning + 2 hours implementation + 1 hour testing),Infrastructure,2,Yes,Medium,Task-Template-073
3,PRT-015,Vilhelm Onboarding & Video Processing Training,Critical,AI,Infrastructure,,Executive Assistant,Auto-generate: <1 minute | Review: 5-10 minutes,Infrastructure,2,Yes,High,Task-Template-020
4,PRT-012,Reviews Scraping & Analysis System,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
5,PRT-016,AI Tools & Accounts Management System,Critical,AI,Infrastructure,,AI Engineer / Data Analyst,1.5 hours (30 min automation run + 45 min validation + 15 min reporting),Infrastructure,2,No,High,Task-Template-074
6,PRT-009,PROSPECTS → Populate Data with AI Research,Critical,Sales,Infrastructure,,Sales Manager,4-5 hours for 50 emails,Infrastructure,2,No,High,Task-Template-021
7,PRT-002,Entity System Cleanup,Critical,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,Project-Template-002
8,TSK-448,Create CRM API integration,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
9,TSK-347,Implement profession/role-based permissions,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
10,TSK-380,Create task template schema,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
11,TSK-390,Create dynamic Postgres generation,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
12,TSK-279,Create reusable microservice template,High,Development,Development,,AI Engineer,1-2 minutes,Internal,1,Yes,Medium,Task-Template-011
13,TSK-402,Fix email personalization - add LinkedIn context,High,Lead Generation,Maintenance,,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,Medium,Task-Template-080
14,TSK-416,Build intermediate export folders structure,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
15,TSK-430,Build reports in ANALYTICS folder,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
16,TSK-439,Decide: Team leads vs direct rollout,High,Lead Generation,Task,,Lead Generation Specialist / Sales Development Rep,3 hours (1 hour research + 1.5 hours data entry + 30 min qualification),Internal,2,Yes,High,Task-Template-080
17,TSK-449,Build Discord voice log export,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
18,TSK-456,Build similar/connected words in LIBRARIES,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
19,TSK-462,Build research prompts for developer tutorials,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
20,TSK-471,Build matching schemas for consistency,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
21,TSK-475,Build central IDs with names center,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
22,TSK-332,Build index files for machine/AI access,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
23,TSK-334,Sync Task Template to backend,High,Development,Integration,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
24,TSK-340,Design country-based job account permissions,High,Sales,Design,,TBD,20-30 minutes,Internal,2,Yes,Medium,CUSTOM
25,TSK-341,Implement team lead access limits,High,Lead Generation,Development,,AI Engineer / DevOps Engineer,2 hours (30 min install + 1 hour config + 30 min testing),Internal,2,Yes,Medium,Task-Template-072
26,TSK-344,Add Balkans as region in system,High,Design,Task,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
27,TSK-345,Design permission system architecture,High,Design,Design,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
28,TSK-367,Build Google Sheets integration workflow,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
29,TSK-369,Build AI agent for n8n analysis,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
30,TSK-370,Generate n8n workflow from Claude,High,AI,Task,,Operations Manager,1-4 minutes (automated execution),Internal,2,Yes,High,Task-Template-022
31,TSK-377,Build action/object extraction from daily notes,High,Design,Development,,TBD,20-30 minutes,Internal,2,Yes,High,CUSTOM
