Entity_ID,Entity_Name,Entity_Type,Department,Category,File_Path,Count,Status,ISO_Code,Notes
RSP-001,Core Responsibilities,Responsibilities,Multi-Department,Core,LIBRARIES/Responsibilities/Core/responsibilities.json,193,Active,RSP,Master responsibilities file
ACT-001,Actions Master,Actions,Multi-Department,Master,LIBRARIES/Responsibilities/Actions/Master/actions_master.json,429,Active,ACT,Complete actions catalog
SKL-001,Skills Master,Skills,Multi-Department,Master,LIBRARIES/LBS_004_LBS_004_../TALENTS/Skills/Master/all_skills.json,28,Active,SKL,Complete skills catalog
TOL-001,AI Tools Master Listing,Tools,AI,Category,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/AI_Tools_Master_Listing.json,80,Active,TOL-AIA,Complete AI tools catalog
TOOL-AI-071,Adobe Firefly,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Adobe_Firefly.json,1,Active,TOOL-AI-071,AI Tool: Adobe Firefly
TOOL-AI-082,Arcade.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Arcade_ai.json,1,Active,TOOL-AI-082,AI Tool: Arcade.ai
TOOL-AI-097,Archon,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Archon.json,1,Active,TOOL-AI-097,AI Tool: Archon
TOOL-113,arXiv,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/arXiv.json,1,Active,TOOL-113,AI Tool: arXiv
TOOL-AI-089,Browserbase,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Browserbase.json,1,Active,TOOL-AI-089,AI Tool: Browserbase
TOOL-AI-057,Bubble.io,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Bubble_io.json,1,Active,TOOL-AI-057,AI Tool: Bubble.io
TOOL-AI-002,ChatGPT (OpenAI),Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ChatGPT.json,1,Active,TOOL-AI-002,AI Tool: ChatGPT (OpenAI)
TOOL-AI-029,Claude,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude.json,1,Active,TOOL-AI-029,AI Tool: Claude
TOOL-AI-030,Claude Desktop App,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude_Desktop_App.json,1,Active,TOOL-AI-030,AI Tool: Claude Desktop App
TOOL-AI-051,Claude Projects,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Claude_Projects.json,1,Active,TOOL-AI-051,AI Tool: Claude Projects
TOOL-AI-090,CodeRabbit,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/CodeRabbit.json,1,Active,TOOL-AI-090,AI Tool: CodeRabbit
TOOL-AI-040,ComfyUI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/ComfyUI.json,1,Active,TOOL-AI-040,AI Tool: ComfyUI
TOOL-AI-045,Cove.ai,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Cove_ai.json,1,Active,TOOL-AI-045,AI Tool: Cove.ai
TOOL-AI-085,Crawl4AI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Crawl4AI.json,1,Active,TOOL-AI-085,AI Tool: Crawl4AI
TOOL-AI-094,CrewAI,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/CrewAI.json,1,Active,TOOL-AI-094,AI Tool: CrewAI
TOOL-AI-041,Cursor,Tools,AI,AI Platform,LIBRARIES/LBS_003_LBS_003_Tools/By_Category/AI/Cursor.json,1,Active,TOOL-AI-041,AI Tool: Cursor
