employee_id,discord_user_id,attendance_records,attendance_status,first_check_in,last_check_out
EMP002,502901197997604864,0,no_records,,
2,,0,no_records,,
80190,1285110685092675608,2,present,,
88645,349178900267663361,3,present,,
86453,,0,no_records,,
88270,1424427349406908527,2,present,,
86940,1401498823171506291,2,present,,
88853,1437335424367460363,2,present,,
37226,910144676881903646,0,no_records,,
443,923207596670849024,2,present,,
88972,1432058024792686665,2,present,,
87396,1413175594262200355,2,present,,
87537,677608728362483713,2,present,,
63754,1077545601635459163,1,present,,
84138,1340940267217227796,1,present,,
87767,1408835551788011650,1,present,,
626,378622211465936897,2,present,,
88626,660069181328457728,0,no_records,,
202,1055527515654979624,0,no_records,,
57346,1021105443214471303,1,present,,
84059,1336629524627980351,2,present,,
72754,510513064744058894,3,present,,
45810,934019087946899476,1,present,,
86981,1076976237077086268,0,no_records,,
40270,931567810780487711,1,present,,
79893,955020606108237884,0,no_records,,
85829,1126539079484457100,1,present,,
85166,1365954770938101774,1,present,,
62346,1069344847250587799,0,no_records,,
178,859678118431424512,2,present,,
86478,1401622142172532756,2,present,,
45405,1158031551746015312,1,present,,
62843,696869692660514917,1,present,,
228,997499428682334278,1,present,,
26,928608753719336970,0,no_records,,
148,233535203174252554,0,no_records,,
491,862950980911890432,1,present,,
33978,1093082918441713664,2,present,,
80802,1341755830273314858,0,no_records,,
72889,1340934988656541736,1,present,,
258,923492994601074699,2,present,,
65361,852261106436931604,1,present,,
58904,1006150188198527056,1,present,,
88105,1419711736193220661,1,present,,
86297,1074804978172035223,2,present,,
86246,1381247747650486312,2,present,,
64669,945384865442975895,0,no_records,,
38390,921388025961938944,1,present,,
299,918515751177060363,1,present,,
39412,922384613542875167,1,present,,
76120,930137015071162398,1,present,,
83953,1332311305289465900,1,present,,
633,918758787169546260,1,present,,
87995,1426898924047831102,2,present,,
87511,1430521213490298930,2,present,,
86241,1384059596196286497,2,present,,
81607,1157003052465795174,1,present,,
333,732843109389697114,1,present,,
1,541338927387377664,0,no_records,,
81013,694560881148952637,1,present,,
281,735792986797113395,0,no_records,,
53065,787808546288435231,2,present,,
87984,1420822057779859488,0,no_records,,
87826,1408457298401169559,1,present,,
86641,1169299236534366278,3,present,,
88357,1424404981586460692,1,present,,
87157,1308907068585148449,2,present,,
86669,859719934287151104,2,present,,
80123,1019582014673911888,3,present,,
