New_ID,Entity_Type,Current_ID,Name,Description,Department,File_Path,Status
RSR-001,Research_ToDo,Research_ToDo_2025-11-W47_AI_Platforms,AI Platforms Research,Research todo for AI platforms and tools week 47 2025,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/ToDo/Research_ToDo_2025-11-W47_AI_Platforms.json,Pending
RSR-002,Research_ToDo,Research_ToDo_2025-11-W47_AI_Video_Tools,AI Video Tools Research,Research todo for AI video tools week 47 2025,VID,ENTITIES/TASK_MANAGERS/RESEARCHES/ToDo/Research_ToDo_2025-11-W47_AI_Video_Tools.json,Pending
RSR-003,Research_ToDo,Research_ToDo_2025-11-W47_Development_Tools,Development Tools Research,Research todo for development tools week 47 2025,DEV,ENTITIES/TASK_MANAGERS/RESEARCHES/ToDo/Research_ToDo_2025-11-W47_Development_Tools.json,Pending
RSR-004,Research_ToDo,Research_ToDo_2025-11-W47_Other_Tools,Other Tools Research,Research todo for other tools week 47 2025,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/ToDo/Research_ToDo_2025-11-W47_Other_Tools.json,Pending
RSR-005,Video_Research,Video_001,Video Research 001,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_001.md,Completed
RSR-006,Video_Research,Video_002,Video Research 002,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_002.md,Completed
RSR-007,Video_Research,Video_003,Video Research 003,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_003.md,Completed
RSR-008,Video_Research,Video_004,Video Research 004,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_004.md,Completed
RSR-009,Video_Research,Video_005,Video Research 005,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_005.md,Completed
RSR-010,Video_Research,Video_006,Video Research 006,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_006.md,Completed
RSR-011,Video_Research,Video_007,Video Research 007,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_007.md,Completed
RSR-012,Video_Research,Video_008,Video Research 008,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_008.md,Completed
RSR-013,Video_Research,Video_009,Video Research 009,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_009.md,Completed
RSR-014,Video_Research,Video_010,Video Research 010,Completed video research and analysis,AID,ENTITIES/TASK_MANAGERS/RESEARCHES/Videos/Video_010.md,Completed
