research_id,name,description,department,category,file_path,status,created_date,updated_date,researcher_id,metadata,output_path
TSM-008,Research Meta-Category,Meta-level category organizing all Research entities (24+ RSR instances),ALL,Meta-Category,ENTITIES/TASK_MANAGERS/RESEARCHES/,Active,,,,,
RSR-001,Social Media Strategies for Creative Professionals,Research on social media strategies for creatives in EU 2025,VID,SMM,ENTITIES/TASK_MANAGERS/RESEARCHES/ARCHIVE/Pre_Taxonomy_Cleanup/SMM/Social Media Strategies for Creative Professionals (EU 2025).md,Active,,,,,
RSR-002,Video Research 001 - GLIF Tutorial,AI agents for creative workflows tutorial,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_001.md,Active,,,,,
RSR-003,Video Research 002 - GLIF + Gemini RAG,GLIF workflows and Google Gemini API integration,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_002.md,Active,,,,,
RSR-004,Video Research 003 - Kimi K2 Thinking,Frontier AI model analysis and benchmarks,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_003.md,Active,,,,,
RSR-005,Video Research 004 - Perplexity Comet,Browser automation and agentic AI capabilities,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_004.md,Active,,,,,
RSR-006,Video Research 005 - Agentic Engineering Stack,Comprehensive AI-first tech stack overview,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_005.md,Active,,,,,
RSR-007,Video Research 006 - Lead Generation Methods,12 methods for lead scraping and enrichment,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_006.md,Active,,,,,
RSR-008,Video Research 007 - Claude Code Business,Claude Code for business automation course,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_007.md,Active,,,,,
RSR-009,Video Research 008 - Claude MCP Connectors,No-code connector creation with MCP Builder,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_008.md,Active,,,,,
RSR-010,Video Research 009 - AI App Design Prompts,3-prompt framework for AI app design,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_009.md,Active,,,,,
RSR-011,HR Videos Research,Comprehensive HR automation research from video tutorials,HRM,Research_Report,ENTITIES/TASK_MANAGERS/RESEARCHES/ARCHIVE/Pre_Taxonomy_Cleanup/Research_Reports/HR videos research.md,Active,,,,,
RSR-012,Video Research 010 - NotebookLM Recruitment,Using NotebookLM for CV screening and interview prep,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_010.md,Active,,,,,
RSR-013,Video Research 011 - Wan 2.2 Video Generation,Open-source video generation model first look,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_011.md,Active,,,,,
RSR-014,Video Research 012 - Google Veo 3.1,Google Veo features and OpenArt workflows,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_012.md,Active,,,,,
RSR-015,Video Research 013 - Andrew Ng Agentic AI,Agentic AI course summary and patterns,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_013.md,Active,,,,,
RSR-016,Video Research 014 - Sales Team Automation,Automating entire sales team workflows,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_014.md,Active,,,,,
RSR-017,Video Research 016 - Dropbox Dash,Building AI agent for work interview,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_016.md,Active,,,,,
RSR-018,Video Research 017 - Midjourney Course,Ultimate Midjourney beginner to advanced tutorial,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_017.md,Active,,,,,
RSR-019,Video Research 018 - Midjourney Beginner Guide,Midjourney 2025 guide with personalization features,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_018.md,Active,,,,,
RSR-020,Video Research 019 - Freelance Hiring Platforms,Best freelance and remote hiring websites overview,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_19.md,Active,,,,,
RSR-021,Video Research 020 - JavaScript To-Do App,Building task manager app from scratch tutorial,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_20.md,Active,,,,,
RSR-022,Video Research 021 - n8n Quickstart,Master workflow automation fundamentals,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_021.md,Active,,,,,
RSR-023,Video Research 022 - Browse AI,No-code web scraping and data extraction,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_022.md,Active,,,,,
RSR-024,Video Research 023 - Google AI Studio,Full walkthrough and tutorial for Google AI Studio,VID,Video_Transcription,ENTITIES/TASK_MANAGERS/RESEARCHES/02_TRANSCRIPTIONS/Video_023.md,Active,,,,,
